"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474313","FPKM.SRR8474330","FPKM.SRR8474340","FPKM.SRR8474349","FPKM.SRR8474359","..files.liver_mean_female","..files.liver_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMUSG00000000740","+","Rpl13","chr8",123103954,123105043,NA,NA,9.12172751422e-05,0.00643321835213,"0.018,0.174,0.015","0.02,0.011","RI","8","Rpl13",37.7453375849711,35.9350392100193,41.3605191129094,43.4184077876686,43.3097910073218,39.0329281942197,28.2234367067437,NA,"mus","liver","GSE125483"
"2","ENSMUSG00000001095","-","Slc13a2","chr11",78400083,78400205,NA,NA,0.000547151807204,0.0433052551005,"1.0,1.0,0.688","0.734,0.72","SE","11","Slc13a2",1.100008,0.701598,1.95279,0.703583,0.776019,0.835063,0.909603,NA,"mus","liver","GSE125483"
"3","ENSMUSG00000001576","+","Ergic1","chr17",26629900,26630529,NA,NA,7.6218940834e-05,0.00974066287169,"0.527,1.0,0.233","1.0,1.0","SE","17","Ergic1",7.99384782346985,6.79120804747975,7.60918847558506,5.64977146028353,7.90830061847435,6.81160911041104,5.17249636468647,NA,"mus","liver","GSE125483"
"4","ENSMUSG00000001576","+","Ergic1","chr17",26629900,26630079,NA,NA,4.75876872215e-05,0.00697582125298,"0.299,1.0,0.275","1.0,1.0","SE","17","Ergic1",7.99384782346985,6.79120804747975,7.60918847558506,5.64977146028353,7.90830061847435,6.81160911041104,5.17249636468647,NA,"mus","liver","GSE125483"
"5","ENSMUSG00000002058","+","Unc119","chr11",78348464,78348530,NA,NA,4.42610349294e-06,0.00073147595994,"0.047,0.0,0.0","0.372,0.129","A3SS","11","Unc119",0.889339155637255,1.52784931495098,1.05937253390523,1.42252323284314,1.46940216053922,1.27990390114379,0.84292489814815,NA,"mus","liver","GSE125483"
"6","ENSMUSG00000002107","-","Celf2","chr2",6560670,6560658,NA,NA,7.20773551954e-09,3.5774393962e-06,"0.461,0.0,0.363","1.0,1.0","A5SS","2","Celf2",0.249730955686911,0.300714434167826,0.393102252897543,0.145689305130583,0.32425147546747,0.23204489832844,0.239117909455004,NA,"mus","liver","GSE125483"
"7","ENSMUSG00000002289","-","Angptl4","chr17",33780647,33780643,NA,NA,5.43786349283e-09,3.62686675026e-06,"0.935,1.0,0.927","1.0,0.989","A3SS","17","Angptl4",37.1671786255295,17.8074726170573,20.733208360915,34.6283237017792,31.5080493945213,29.8676583147887,17.4137525851454,NA,"mus","liver","GSE125483"
"8","ENSMUSG00000002308","+","Cd320","chr17",33847725,33848016,NA,NA,0.000162675469243,0.00968822794603,"0.169,0.174,0.091","0.011,0.061","RI","17","Cd320",1.57216354561221,1.5815199982657,1.15222229864724,1.19730572840791,1.00092898785987,1.45032975742861,0.71771709550237,NA,"mus","liver","GSE125483"
"9","ENSMUSG00000002833","+","Hdgfl2","chr17",56096847,56096850,NA,NA,0.000187831771939,0.0116992360808,"0.875,0.878,0.797","0.958,1.0","A3SS","17","Hdgfl2",5.1404223949959,4.52592627358491,5.2770904378589,5.13634514294504,4.85296826148482,4.93423127050862,3.37668623311457,NA,"mus","liver","GSE125483"
"10","ENSMUSG00000002833","+","Hdgfl2","chr17",56096820,56096850,NA,NA,0.000395928273786,0.0192775849732,"0.783,0.787,0.506","0.89,1.0","A3SS","17","Hdgfl2",5.1404223949959,4.52592627358491,5.2770904378589,5.13634514294504,4.85296826148482,4.93423127050862,3.37668623311457,NA,"mus","liver","GSE125483"
"11","ENSMUSG00000002944","-","Cd36","chr5",17828984,17828981,NA,NA,0.000682331303471,0.0284818769815,"0.745,0.779,0.804","0.934,0.889","A3SS","5","Cd36",10.3446199590529,13.2328592520891,10.4933745314763,10.5070118749304,7.88222855208914,11.3614970286908,6.12520102785515,NA,"mus","liver","GSE125483"
"12","ENSMUSG00000002963","+","Pnkp","chr7",44859802,44859887,NA,NA,0.00106141841811,0.0380958387853,"0.004,0.0,0.0","0.034,0.062","RI","7","Pnkp",5.13456582307692,5.95132553230769,5.48086192769231,5.47507215692308,5.60429015292308,5.52032117076923,3.69505069353846,NA,"mus","liver","GSE125483"
"13","ENSMUSG00000002983","-","Relb","chr7",19617403,19616437,NA,NA,9.18400749894e-08,3.43219480246e-05,"0.17,0.146,0.093","1.0,1.0","A3SS","7","Relb",0.429917214929215,0.419319918661519,0.411476888803089,0.513075084169884,0.269014525096525,0.454104072586873,0.226830471299871,NA,"mus","liver","GSE125483"
"14","ENSMUSG00000003279","+","Dlgap1","chr17",70206236,70206345,NA,NA,1.7069982737e-05,0.00349272709609,"0.497,0.441,0.542","1.0,1.0","SE","17","Dlgap1",0.0971380831749581,0.122960766517608,0.0936494332029067,0.0867200391839016,0.0991468082168809,0.102272962958823,0.0642654138065959,NA,"mus","liver","GSE125483"
"15","ENSMUSG00000003778","-","Brd8","chr18",34609804,34608417,NA,NA,0.000544414939194,0.0300507978985,"0.69,1.0,0.694","1.0,1.0","A5SS","18","Brd8",1.66419049017211,1.89361388422835,1.44397207928148,1.69824248528167,1.43026841916675,1.75201561989404,0.95808016614941,NA,"mus","liver","GSE125483"
"16","ENSMUSG00000003824","+","Syce2","chr8",84883430,84883584,NA,NA,5.35690886632e-05,0.00756965005119,"1.0,0.424,0.486","1.0,1.0","SE","8","Syce2",3.72829257926829,2.45898736077236,3.34669629268293,3.86349219918699,1.91681872865854,3.35025737974255,1.75450500711382,NA,"mus","liver","GSE125483"
"17","ENSMUSG00000004558","-","Ndrg2","chr14",51911085,51911127,NA,NA,1.42738540108e-05,0.0031533154952,"0.966,0.975,0.97","0.985,0.987","SE","14","Ndrg2",444.168291086253,400.527293534884,361.70219839005,398.923043853989,355.568734840153,414.539542825042,239.090311076734,NA,"mus","liver","GSE125483"
"18","ENSMUSG00000004896","-","Rrnad1","chr3",87927755,87927923,NA,NA,1.3034997052e-05,0.00166351390949,"0.314,1.0,0.567","1.0,1.0","RI","3","Rrnad1",2.48434300488805,2.46879671696626,2.69707662346263,2.04759098848944,1.22770571917376,2.33357690344792,1.3082607808788,NA,"mus","liver","GSE125483"
"19","ENSMUSG00000004933","+","Matk","chr10",81262156,81262447,NA,NA,2.25897789363e-09,1.21081215099e-06,"0.073,0.0,0.089","1.0,1.0","RI","10","Matk",0.0589185563778842,0.0811383791902481,0.060211451458424,0.0526366195037005,0.0330600474531998,0.0642311850239443,0.0310904996372079,NA,"mus","liver","GSE125483"
"20","ENSMUSG00000005142","+","Man2b1","chr8",85085548,85086810,NA,NA,4.96339654499e-06,0.000738994596699,"0.043,0.061,0.057","0.102,0.094","RI","8","Man2b1",14.015815758784,12.3911358547222,13.6137359401944,11.1275163776476,11.7214053734114,12.5114893303846,8.44504710453527,NA,"mus","liver","GSE125483"
"21","ENSMUSG00000005373","+","Mlxipl","chr5",135133075,135133080,NA,NA,0.00068591676217,0.0284818769815,"0.257,0.229,0.224","0.122,0.065","A3SS","5","Mlxipl",81.1702915628386,63.5696423226797,71.1697306285663,83.0081816697364,60.3646851578187,75.9160385184182,43.8448052621283,NA,"mus","liver","GSE125483"
"22","ENSMUSG00000005442","+","Cic","chr7",25291051,25291054,NA,NA,0.00134482754642,0.042903278798,"0.384,0.49,0.427","0.215,0.0","A3SS","7","Cic",3.20298840751894,2.37635772129396,2.21839096483388,2.42043739430736,2.02375130551778,2.66659450770675,1.41404742345055,NA,"mus","liver","GSE125483"
"23","ENSMUSG00000005677","+","Nr1i3","chr1",171217625,171217731,NA,NA,0.000189583545248,0.0189813067175,"0.91,0.888,0.968","0.858,0.87","SE","1","Nr1i3",51.8253322514726,68.023073089488,42.3873940260535,75.9180479807431,43.4362662127322,65.2554844405679,28.6078867462619,NA,"mus","liver","GSE125483"
"24","ENSMUSG00000005677","+","Nr1i3","chr1",171217430,171217625,NA,NA,0.000129219334375,0.0086249026651,"0.415,0.436,0.459","0.537,0.549","RI","1","Nr1i3",51.8253322514726,68.023073089488,42.3873940260535,75.9180479807431,43.4362662127322,65.2554844405679,28.6078867462619,NA,"mus","liver","GSE125483"
"25","ENSMUSG00000006010","-","Odr4","chr1",150388657,150388619,NA,NA,0.000506067129306,0.023717201275,"0.926,0.87,0.891","0.968,1.0","A3SS","1","Odr4",8.14521251243903,7.94131672585366,8.14800462121951,4.64014299073171,8.03393966219512,6.90889074300813,5.39398142780488,NA,"mus","liver","GSE125483"
"26","ENSMUSG00000006058","+","Snf8","chr11",96046354,96047194,NA,NA,0.00034308391711,0.0191555187053,"0.08,0.087,0.107","0.049,0.061","RI","11","Snf8",8.33829282256257,8.09285616548375,7.3784839772133,6.6583212853941,7.52958462719462,7.69649009114681,4.96935620146931,NA,"mus","liver","GSE125483"
"27","ENSMUSG00000006307","-","Kmt2b","chr7",30570841,30570838,NA,NA,0.000221731196598,0.0131829275068,"0.173,0.107,0.121","0.0,0.0","A3SS","7","Kmt2b",2.40217384858274,2.18198485243852,2.74172553897457,2.19295073082534,2.17111944466444,2.2590364772822,1.63761499454634,NA,"mus","liver","GSE125483"
"28","ENSMUSG00000006705","+","Pknox1","chr17",31595224,31595227,NA,NA,6.0797330271e-05,0.00611714676881,"0.837,0.742,0.609","1.0,0.939","A3SS","17","Pknox1",0.453753990913025,1.87154966075292,1.78977061459686,1.65060744324246,0.620616839751911,1.3253036983028,0.803462484782924,NA,"mus","liver","GSE125483"
"29","ENSMUSG00000006958","+","Chrd","chr16",20733464,20733530,NA,NA,0.000903128055915,0.0342403332503,"1.0,1.0,0.0","0.206,0.509","A3SS","16","Chrd",0.77753055704698,1.01854043751997,0.974875163630553,0.989399405081496,1.0241866585171,0.928490133216149,0.666353940715884,NA,"mus","liver","GSE125483"
"30","ENSMUSG00000007850","+","Hnrnph1","chr11",50379964,50382536,NA,NA,0.00123172893741,0.0423209429777,"0.629,0.755,0.645","0.852,0.79","RI","11","Hnrnph1",8.67871271157138,7.77783348373845,8.35418478911332,10.4611673639165,8.04638424683328,8.97257118640878,5.46685634531553,NA,"mus","liver","GSE125483"
"31","ENSMUSG00000008682","+","Rpl10","chrX",74271360,74271718,NA,NA,2.77983988051e-08,2.83108932815e-05,"0.828,0.916,0.887","1.0,1.0","SE","X","Rpl10",30.6172305679493,34.4782522820263,31.1311152942036,23.4729295669752,29.8059089810034,29.5228041389836,20.312341425069,NA,"mus","liver","GSE125483"
"32","ENSMUSG00000008855","-","Hdac5","chr11",102218490,102218487,NA,NA,0.000147520923457,0.00989524963496,"0.283,0.528,0.193","0.038,0.064","A3SS","11","Hdac5",2.95078910603645,3.78396484806378,3.62237785148064,2.6601634356492,3.13668216651481,3.13163912991648,2.25302000599848,NA,"mus","liver","GSE125483"
"33","ENSMUSG00000010608","+","Rbm25","chr12",83642401,83642519,NA,NA,0.000300703472175,0.0272632020871,"1.0,1.0,0.798","0.53,0.83","SE","12","Rbm25",3.56093294262201,3.63602415124309,3.35231141154466,4.3875410893186,3.58114008316068,3.86149939439457,2.31115049823511,NA,"mus","liver","GSE125483"
"34","ENSMUSG00000010936","+","Vac14","chr8",110712827,110715426,NA,NA,0.00143401795651,0.0474465200426,"0.021,0.044,0.036","0.069,0.054","RI","8","Vac14",2.47540329683908,3.08265328922414,2.81107578663793,2.20931196896552,2.48961478491379,2.58912285167625,1.76689685718391,NA,"mus","liver","GSE125483"
