"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474159","FPKM.SRR8474171","FPKM.SRR8474183","FPKM.SRR8474195","FPKM.SRR8474206","FPKM.SRR8474224","..files.pituitary_mean_female","..files.pituitary_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMFAG00000000033","-","ZNF708","chr19",21412321,21412448,NA,NA,0.000441941108163,0.0167130385498,"1.0,1.0,0.852","0.683,0.518,0.818","SE","19","ZNF708",2.487451,3.096565,3.650432,3.284608,2.4729,3.148752,3.17664166666667,2.870261,NA,"Macaca_fascicularis","pituitary","GSE125483"
"2","ENSMFAG00000000042","-","KRR1","chr11",74726156,74726240,NA,NA,0.000299301775516,0.0126882905745,"0.834,0.956,0.947","0.863,0.933,0.863","SE","11","KRR1",31.4062601912004,31.0064949619772,38.1385881727322,31.8667958924498,36.8974533297121,29.6818632933188,30.8517180492486,35.4807672312149,NA,"Macaca_fascicularis","pituitary","GSE125483"
"3","ENSMFAG00000000043","-","MCCC1","chr2",87736781,87736799,NA,NA,0.000834956927138,0.0267199252702,"0.0,0.064,0.0","0.0,0.0,0.0","SE","2","MCCC1",25.3467563966942,23.545455890308,25.9728637926371,19.7760308790383,27.0841725364388,22.9601826401202,22.0938898031555,26.1345975752567,NA,"Macaca_fascicularis","pituitary","GSE125483"
"4","ENSMFAG00000000043","-","MCCC1","chr2",87673716,87673803,NA,NA,0.00127395837277,0.0370896591038,"0.988,0.969,0.972","1.0,0.981,1.0","SE","2","MCCC1",25.3467563966942,23.545455890308,25.9728637926371,19.7760308790383,27.0841725364388,22.9601826401202,22.0938898031555,26.1345975752567,NA,"Macaca_fascicularis","pituitary","GSE125483"
"5","ENSMFAG00000000043","-","MCCC1","chr2",87731664,87731801,NA,NA,0.00121489393426,0.0357013347248,"0.796,0.674,0.748","0.88,0.918,0.795","SE","2","MCCC1",25.3467563966942,23.545455890308,25.9728637926371,19.7760308790383,27.0841725364388,22.9601826401202,22.0938898031555,26.1345975752567,NA,"Macaca_fascicularis","pituitary","GSE125483"
"6","ENSMFAG00000000075","-","RNF25","chr12",108344297,108344390,NA,NA,1.24181544292e-06,0.000243795656509,"1.0,0.997,1.0","0.967,0.947,0.95","SE","12","RNF25",17.988258,21.00647,17.55109,18.442305,20.565813,22.930586,20.7931203333333,18.7017203333333,NA,"Macaca_fascicularis","pituitary","GSE125483"
"7","ENSMFAG00000000078","+","USP15","chr11",61520411,61520498,NA,NA,0.000131968955107,0.00681887012886,"0.952,0.848,0.858","1.0,0.952,0.963","SE","11","USP15",11.655040002185,15.9443365613984,14.4652907077932,15.0957257458121,16.5129126136926,13.5209210206846,14.8536611092984,14.2110811078903,NA,"Macaca_fascicularis","pituitary","GSE125483"
"8","ENSMFAG00000000078","+","USP15","chr11",61496267,61496329,NA,NA,0.00129922993251,0.0376400225112,"0.982,0.952,0.956","1.0,0.982,0.985","SE","11","USP15",11.655040002185,15.9443365613984,14.4652907077932,15.0957257458121,16.5129126136926,13.5209210206846,14.8536611092984,14.2110811078903,NA,"Macaca_fascicularis","pituitary","GSE125483"
"9","ENSMFAG00000000088","-","MED31","chr16",6675478,6675556,NA,NA,0.000169184350728,0.00820774351922,"1.0,0.975,0.978","0.95,0.929,0.912","SE","16","MED31",15.9461678897059,17.7894777352941,16.1842339558824,15.5157308014706,14.3813249779412,16.6004519485294,16.6352201617647,15.5039089411765,NA,"Macaca_fascicularis","pituitary","GSE125483"
"10","ENSMFAG00000000151","-","DAB2","chr6",39838524,39839178,NA,NA,7.54203263454e-05,0.00456014875841,"1.0,0.707,1.0","1.0,1.0,1.0","SE","6","DAB2",6.26178860341196,3.37301217754844,4.15783554949452,7.05548811183656,3.96198383740522,3.68896752569503,4.70582260502668,4.7938693301039,NA,"Macaca_fascicularis","pituitary","GSE125483"
