"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474310","FPKM.SRR8474320","FPKM.SRR8474327","FPKM.SRR8474337","FPKM.SRR8474346","FPKM.SRR8474356","..files.brain_mean_female","..files.brain_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMUSG00000000134","+","Tfe3","chrX",7766554,7766573,NA,NA,1.74027897648e-06,0.000379508756736,"1.0,1.0,1.0","1.0,0.703,0.841","A3SS","X","Tfe3",3.12488251247166,2.46016609394234,2.69416973760933,3.06291841194255,2.18946407914912,3.35359625882734,2.6695054430767,2.95889358823741,NA,"mus","brain","GSE125483"
"2","ENSMUSG00000001034","-","Mapk7","chr11",61493185,61493069,NA,NA,0.00129183846509,0.0396259204673,"1.0,1.0,0.41","0.222,0.275,0.363","A3SS","11","Mapk7",2.65309302071006,2.31079570095585,3.09600593559399,3.52305167910787,2.53411559877105,3.14305563017751,2.76107151835837,2.99230100341374,NA,"mus","brain","GSE125483"
"3","ENSMUSG00000001229","-","Dpp9","chr17",56189761,56189880,NA,NA,0.000577733750945,0.0410589950568,"0.047,0.012,0.045","0.037,0.111,0.077","SE","17","Dpp9",7.22504919015603,6.28519951160726,5.74793753165039,8.04249386629456,6.05256382899911,7.78806040314601,6.34185018360184,7.37191792701594,NA,"mus","brain","GSE125483"
"4","ENSMUSG00000001248","-","Gramd1a","chr7",31133219,31133231,NA,NA,1.19282557165e-08,1.46132492771e-05,"0.033,0.0,0.0","0.204,0.114,0.079","SE","7","Gramd1a",19.7334981137622,19.8265398587517,13.5712024344341,23.4527670101164,12.9603887867914,22.6573479221225,15.4216964449959,21.9788849303302,NA,"mus","brain","GSE125483"
"5","ENSMUSG00000001285","+","Myg1","chr15",102334181,102334201,NA,NA,3.66993522938e-05,0.0029465510471,"1.0,1.0,1.0","0.438,0.645,1.0","A3SS","15","Myg1",6.98652346333688,6.45455601948282,7.20768018384697,7.15813629578463,6.23182792206872,7.24287863832802,6.80867718975086,6.95185698453182,NA,"mus","brain","GSE125483"
"6","ENSMUSG00000001376","+","Vps50","chr6",3601367,3602659,NA,NA,8.58097856923e-05,0.00523735588536,"0.011,0.007,0.01","0.021,0.017,0.018","A3SS","6","Vps50",7.11591385703758,7.5464164008843,8.94473695882461,7.24984828251658,8.44280610233972,7.65106082249447,8.16781897273397,7.48244183529845,NA,"mus","brain","GSE125483"
"7","ENSMUSG00000001901","+","Kcnh6","chr11",106025793,106025878,106026715,106026872,0.000224001635942,0.0267239531176,"0.0,0.0,0.154","0.0,0.238,0.245","MXE","11","Kcnh6",0.360631347421809,0.494546529163145,0.393876639053254,0.478124179768949,0.410851397013243,0.533457854043393,0.388453127829435,0.502042854325162,NA,"mus","brain","GSE125483"
"8","ENSMUSG00000001943","+","Vsig2","chr9",37541326,37541485,NA,NA,2.8812162051e-05,0.00497483552407,"1.0,1.0,1.0","1.0,0.764,0.728","SE","9","Vsig2",3.4468271419909,3.38057545730167,3.10862770338555,2.70860028701364,2.12337272056594,4.13254062102072,2.8929425219808,3.40723878844534,NA,"mus","brain","GSE125483"
"9","ENSMUSG00000002010","-","Idh3g","chrX",73782005,73782103,73782297,73782309,4.804893039e-09,4.55183533895e-06,"0.0,0.0,0.0","0.0,0.056,0.091","MXE","X","Idh3g",25.5156850529434,24.8726772321362,28.0611612736024,24.6906423261755,27.1107520355424,28.3217337834136,26.8958661206961,25.9616844472418,NA,"mus","brain","GSE125483"
"10","ENSMUSG00000002031","+","Ift46","chr9",44774182,44774231,44776356,44776461,1.32479249793e-10,1.88253013956e-07,"0.0,0.0,0.0","1.0,0.595,0.512","MXE","9","Ift46",4.55072725218204,4.4737473946384,5.07270473612843,4.39297050483167,4.34131556966958,5.32735461331047,4.65491585266002,4.73135750426018,NA,"mus","brain","GSE125483"
"11","ENSMUSG00000002059","+","Rab34","chr11",78191207,78191289,NA,NA,5.3011882307e-05,0.00791403350882,"1.0,1.0,1.0","1.0,0.811,0.844","SE","11","Rab34",3.84659609895178,3.31895547463312,4.48803149056604,5.60428526289308,4.03126757023061,5.48076796855346,4.12196505324948,4.80133623535989,NA,"mus","brain","GSE125483"
"12","ENSMUSG00000002059","+","Rab34","chr11",78190684,78190736,NA,NA,2.31950862895e-05,0.00435576631365,"1.0,1.0,1.0","1.0,0.76,0.805","SE","11","Rab34",3.84659609895178,3.31895547463312,4.48803149056604,5.60428526289308,4.03126757023061,5.48076796855346,4.12196505324948,4.80133623535989,NA,"mus","brain","GSE125483"
"13","ENSMUSG00000002107","-","Celf2","chr2",6549831,6549975,NA,NA,3.08658366643e-08,3.30868908276e-05,"0.976,1.0,1.0","0.94,0.958,0.93","SE","2","Celf2",10.2568412858523,15.1243057132978,15.1910474209937,13.6446109241616,15.7642562513136,14.0262479232344,13.7373816527199,14.2650548535646,NA,"mus","brain","GSE125483"
"14","ENSMUSG00000002109","-","Ddb2","chr2",91234299,91234814,NA,NA,0.00101515807426,0.0354955271483,"0.914,0.901,0.867","0.815,0.786,0.602","RI","2","Ddb2",4.0186680244883,3.97634215752924,4.91214892178363,4.67966589108187,4.63820507711988,4.98516798099415,4.5230073411306,4.54705867653509,NA,"mus","brain","GSE125483"
"15","ENSMUSG00000002279","+","Lmf1","chr17",25588675,25588742,NA,NA,4.65490254609e-06,0.0014089020918,"1.0,1.0,1.0","0.805,0.474,0.817","SE","17","Lmf1",0.812814419898447,0.625281517771727,0.720212987931415,0.97133274501435,0.720194263448377,0.912939025167415,0.75107389042608,0.836517762651164,NA,"mus","brain","GSE125483"
"16","ENSMUSG00000002279","+","Lmf1","chr17",25588675,25588686,NA,NA,2.76808782007e-07,0.000192471879316,"1.0,1.0,1.0","0.722,0.394,0.634","SE","17","Lmf1",0.812814419898447,0.625281517771727,0.720212987931415,0.97133274501435,0.720194263448377,0.912939025167415,0.75107389042608,0.836517762651164,NA,"mus","brain","GSE125483"
"17","ENSMUSG00000002342","+","Tmem161a","chr8",70174302,70174406,NA,NA,4.6123373576e-07,0.000282164375183,"1.0,1.0,1.0","0.245,0.907,0.646","SE","8","Tmem161a",2.82332770786823,3.7348893844269,2.18362074217261,3.54761706153008,3.99586882058263,3.1718529651511,3.00093909020782,3.48478647036936,NA,"mus","brain","GSE125483"
"18","ENSMUSG00000002486","+","Tchp","chr5",114719764,114720124,NA,NA,0.00123254873096,0.0371229033622,"0.121,0.192,0.309","0.093,0.054,0.079","RI","5","Tchp",1.18344676923077,1.22990388873868,1.10351444599162,0.817578457212383,1.28082207611194,1.2080472634852,1.18926109711144,1.08517653647875,NA,"mus","brain","GSE125483"
"19","ENSMUSG00000002578","-","Ikzf4","chr10",128642793,128642733,NA,NA,0.000149198112213,0.00818598126724,"1.0,0.351,1.0","0.351,0.351,0.464","A3SS","10","Ikzf4",2.22985557885776,1.09689237656709,1.25369406454109,1.40265370143941,2.07331478238663,1.36937184383222,1.85228814192849,1.28963930727957,NA,"mus","brain","GSE125483"
"20","ENSMUSG00000002825","+","Qtrt1","chr9",21412301,21412392,NA,NA,3.79551930014e-05,0.0036081155347,"0.0,0.0,0.049","0.084,0.238,0.077","RI","9","Qtrt1",3.85420183578307,4.12306577040041,3.53541154434871,4.00656536999493,3.39693550177395,4.44554598935631,3.59551629396858,4.19172570991722,NA,"mus","brain","GSE125483"
"21","ENSMUSG00000002908","-","Kcnn1","chr8",70848199,70848174,NA,NA,0.00133590230667,0.0485539765642,"1.0,1.0,1.0","1.0,0.552,0.775","A5SS","8","Kcnn1",2.3377203795509,1.79645925332461,1.62957878112056,1.60172497078701,1.59394623632003,1.81994762546327,1.85374846566383,1.73937728319163,NA,"mus","brain","GSE125483"
"22","ENSMUSG00000003068","+","Stk11","chr10",80127903,80127957,NA,NA,4.49171580041e-07,0.000132505616112,"1.0,1.0,1.0","1.0,0.913,0.931","A3SS","10","Stk11",9.23892778187773,8.0416522871179,7.81346638100437,8.11947839868995,7.85030045131004,8.91596254082969,8.30089820473071,8.35903107554585,NA,"mus","brain","GSE125483"
"23","ENSMUSG00000003099","-","Ppp5c","chr7",17008712,17008992,NA,NA,7.0030512731e-06,0.00112122536699,"0.059,0.038,0.019","0.036,0.079,0.089","RI","7","Ppp5c",25.1198409005102,20.4659436610332,21.1951993325893,28.606428010523,21.7732315854592,27.8497758549107,22.6960906061862,25.6407158421556,NA,"mus","brain","GSE125483"
"24","ENSMUSG00000003363","-","Pld3","chr7",27545187,27545262,NA,NA,0.000148501525783,0.0159187448076,"1.0,1.0,1.0","0.833,0.885,0.964","SE","7","Pld3",105.662149323529,84.527822370383,86.0809397794118,122.191234285226,81.2274956966484,128.644789254788,90.9901949331964,111.787948636799,NA,"mus","brain","GSE125483"
"25","ENSMUSG00000003363","-","Pld3","chr7",27545187,27545285,NA,NA,1.71985690952e-05,0.00342749185329,"1.0,1.0,1.0","0.746,0.791,0.938","SE","7","Pld3",105.662149323529,84.527822370383,86.0809397794118,122.191234285226,81.2274956966484,128.644789254788,90.9901949331964,111.787948636799,NA,"mus","brain","GSE125483"
"26","ENSMUSG00000003452","+","Bicd1","chr6",149519113,149519223,NA,NA,8.42602676054e-06,0.00168436274943,"0.282,0.59,0.702","0.797,1.0,1.0","A5SS","6","Bicd1",1.74016874018193,2.32842222869251,2.30898740729916,1.80830021817119,2.33921047941402,1.92277308365908,2.12945554229837,2.01983184350759,NA,"mus","brain","GSE125483"
"27","ENSMUSG00000003559","+","As3mt","chr19",46709661,46709683,NA,NA,0.00016300307425,0.0101825982946,"1.0,0.939,1.0","0.941,0.771,0.889","A5SS","19","As3mt",2.84126538262765,2.88682727428394,2.94706344427148,2.62087575466999,3.42466632129514,2.70859256008717,3.07099838273142,2.73876519634703,NA,"mus","brain","GSE125483"
"28","ENSMUSG00000003575","-","Crtc1","chr8",70393055,70397745,NA,NA,0.000653405427315,0.0279952015478,"0.095,0.272,0.226","0.177,0.077,0.067","RI","8","Crtc1",12.3978940803971,8.56757636549812,7.47624613754248,14.0538119595779,7.45693126694688,13.2913386573958,9.11035716162882,11.9709089941573,NA,"mus","brain","GSE125483"
