"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474231","FPKM.SRR8474260","FPKM.SRR8474271","FPKM.SRR8474282","FPKM.SRR8474293","..files.colon_mean_female","..files.colon_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSCAFG00000000007","-","ADNP2","chr1",625038,625159,633690,633814,0.000272111189578,0.00483361502849,"0.0,0.043,0.132","0.239,0.346","MXE","1","ADNP2",3.414385,3.994632,5.586965,3.646863,3.370548,3.68529333333333,2.98583766666667,NA,"dog","colon","GSE125483"
"2","ENSCAFG00000000007","-","ADNP2","chr1",609663,609753,625038,625159,0.00340411369773,0.0331029954071,"0.186,0.031,0.295","0.522,0.284","MXE","1","ADNP2",3.414385,3.994632,5.586965,3.646863,3.370548,3.68529333333333,2.98583766666667,NA,"dog","colon","GSE125483"
"3","ENSCAFG00000000009","+","SLC66A2","chr1",772466,772520,791174,791391,0.00258242303683,0.0269138603416,"0.121,0.345,0.324","0.162,0.084","MXE","1","SLC66A2",3.27903290090801,3.03117566837742,3.02284628108962,2.49392229135413,1.77921097197,2.93471028687985,1.60068575101987,NA,"dog","colon","GSE125483"
"4","ENSCAFG00000000011","-","NFATC1","chr1",1052146,1051839,NA,NA,0.0043707519209,0.0300585044385,"0.405,0.103,0.347","0.484,0.724","A5SS","1","NFATC1",2.8428318948479,2.11548961719712,2.57108454686126,2.19413506330227,1.56030072340426,2.38415219178243,1.37712842342184,NA,"dog","colon","GSE125483"
"5","ENSCAFG00000000012","-","ATP9B","chr1",1244695,1244772,1252295,1252371,1.20410362264e-05,0.000421863255024,"1.0,0.973,1.0","0.854,0.839","MXE","1","ATP9B",6.063805,5.22557096855497,9.64500588910226,5.32356,6.826185,5.53764532285166,5.49039696303409,NA,"dog","colon","GSE125483"
"6","ENSCAFG00000000012","-","ATP9B","chr1",1252295,1252371,NA,NA,0.000980822606026,0.0160464240757,"1.0,0.974,1.0","0.938,0.846","SE","1","ATP9B",6.063805,5.22557096855497,9.64500588910226,5.32356,6.826185,5.53764532285166,5.49039696303409,NA,"dog","colon","GSE125483"
"7","ENSCAFG00000000012","-","ATP9B","chr1",1244695,1244772,NA,NA,0.00114705033643,0.0180776668764,"0.941,0.838,0.939","1.0,0.968","SE","1","ATP9B",6.063805,5.22557096855497,9.64500588910226,5.32356,6.826185,5.53764532285166,5.49039696303409,NA,"dog","colon","GSE125483"
"8","ENSCAFG00000000016","+","MBP","chr1",2942990,2943023,NA,NA,1.93842305396e-06,0.000101142683203,"0.0,0.142,0.136","0.614,0.621","SE","1","MBP",3.5567623340564,5.38594192965603,8.94911102293151,3.63909483792997,7.91003462379919,4.1939330338808,5.6197152155769,NA,"dog","colon","GSE125483"
"9","ENSCAFG00000000060","-","ITGA7","chr10",103555,103675,NA,NA,5.40496869483e-10,7.8117694607e-08,"0.164,0.078,0.193","0.347,0.448","SE","10","ITGA7",63.9280636346357,50.2884380967265,35.5455541034847,56.4668528975713,19.7120561714889,56.8944515429778,18.4192034249912,NA,"dog","colon","GSE125483"
"10","ENSCAFG00000000060","-","ITGA7","chr10",103555,103675,103971,104103,3.03693231896e-07,2.08367300773e-05,"0.873,0.916,0.894","0.744,0.504","MXE","10","ITGA7",63.9280636346357,50.2884380967265,35.5455541034847,56.4668528975713,19.7120561714889,56.8944515429778,18.4192034249912,NA,"dog","colon","GSE125483"
"11","ENSCAFG00000000071","+",NA,"chr10",204677,204852,205000,205152,0.000416229277952,0.00669763072665,"0.254,0.139,0.227","0.302,0.264","MXE","10","ENSCAFG00000000071",28.095207,48.852146,54.770908,26.372124,54.8321,34.4398256666667,36.534336,NA,"dog","colon","GSE125483"
"12","ENSCAFG00000000071","+",NA,"chr10",204677,204852,NA,NA,1.71018914515e-05,0.000662196017564,"1.0,0.853,0.817","0.976,0.966","SE","10","ENSCAFG00000000071",28.095207,48.852146,54.770908,26.372124,54.8321,34.4398256666667,36.534336,NA,"dog","colon","GSE125483"
"13","ENSCAFG00000000078","+","DGKA","chr10",277870,277920,NA,NA,0.000282507270563,0.00627904934334,"0.947,0.96,0.935","0.99,0.983","SE","10","DGKA",31.1884734317726,41.164759929097,88.5050090809365,35.341606244816,86.9568372765886,35.8982798685619,58.487282119175,NA,"dog","colon","GSE125483"
"14","ENSCAFG00000000079","-","RELCH","chr1",14599328,14599411,NA,NA,0.000423026444517,0.00855773631434,"1.0,0.563,1.0","0.58,0.415","SE","1","RELCH",6.29099310124935,7.2773075096304,11.9671763079125,6.635087717595,7.93742441332639,6.73446277615825,6.63486690707963,NA,"dog","colon","GSE125483"
"15","ENSCAFG00000000079","-","RELCH","chr1",14598755,14598838,14599328,14599411,4.99993357828e-09,6.49991365176e-07,"1.0,0.672,0.98","0.556,0.511","MXE","1","RELCH",6.29099310124935,7.2773075096304,11.9671763079125,6.635087717595,7.93742441332639,6.73446277615825,6.63486690707963,NA,"dog","colon","GSE125483"
