"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474151","FPKM.SRR8474163","FPKM.SRR8474175","FPKM.SRR8474187","..files.adipose_mean_female","..files.adipose_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMFAG00000000062","-","TBC1D9B","chr6",179869030,179869099,NA,NA,2.25546331637e-05,0.00104995706107,"0.932,0.936","1.0,0.997","SE","6","TBC1D9B",10.2494335877335,17.9540515877335,34.7270863786027,7.70377339347475,12.8289124906041,22.4882599831681,NA,"Macaca_fascicularis","adipose","GSE125483"
"2","ENSMFAG00000000062","-","TBC1D9B","chr6",179864228,179864279,NA,NA,0.000240661283614,0.00547694440116,"0.031,0.006","0.01,0.066","SE","6","TBC1D9B",10.2494335877335,17.9540515877335,34.7270863786027,7.70377339347475,12.8289124906041,22.4882599831681,NA,"Macaca_fascicularis","adipose","GSE125483"
"3","ENSMFAG00000000074","-","FYN","chr4",15604410,15604566,15604984,15605149,0.00736119273947,0.0458375809431,"0.955,0.95","0.441,0.954","MXE","4","FYN",20.9992673056219,15.5020917607899,10.541841685778,16.5102264631311,16.0061591119605,15.7705544956999,NA,"Macaca_fascicularis","adipose","GSE125483"
"4","ENSMFAG00000000078","+","USP15","chr11",61568681,61568785,NA,NA,2.74085087959e-10,1.20657022417e-07,"0.827,0.916","1.0,0.993","SE","11","USP15",14.9867097316824,10.0165575924253,7.66747177902403,9.91639865637291,9.96647812439911,11.3270907553532,NA,"Macaca_fascicularis","adipose","GSE125483"
"5","ENSMFAG00000000079","-","MEF2B","chr19",19625591,19625570,NA,NA,0.0046890696915,0.0266257609439,"0.162,0.079","0.0,0.0","A3SS","19","MEF2B",2.55066153070175,2.72597903435673,0.593712682383041,1.37932085782164,2.05264994608918,1.5721871065424,NA,"Macaca_fascicularis","adipose","GSE125483"
"6","ENSMFAG00000000110","+","PLEKHA7","chr14",50931610,50931613,NA,NA,0.00792458393791,0.0407613455769,"1.0,0.935","0.885,0.912","A3SS","14","PLEKHA7",2.5366065458751,13.8121199629915,4.89571982035466,6.23032375636083,10.0212218596762,3.71616318311488,NA,"Macaca_fascicularis","adipose","GSE125483"
"7","ENSMFAG00000000111","-","CD200","chr2",159847084,159847192,NA,NA,4.31089907227e-06,0.000297979161107,"0.597,0.962","1.0,0.988","SE","2","CD200",18.1208544859895,8.48577581654991,10.6584907670753,13.4634429886165,10.9746094025832,14.3896726265324,NA,"Macaca_fascicularis","adipose","GSE125483"
"8","ENSMFAG00000000120","+","BTBD10","chr14",54272803,54272961,NA,NA,0.00122022629312,0.0171192099892,"1.0,0.666","0.46,0.39","SE","14","BTBD10",3.43943668890274,3.54912725727348,3.16884419887781,4.64664452036575,4.09788588881962,3.30414044389028,NA,"Macaca_fascicularis","adipose","GSE125483"
"9","ENSMFAG00000000139","+","ARIH2","chr2",104138037,104138127,104139987,104140071,0.00352587328051,0.0254838787551,"0.0,0.0","0.022,0.038","MXE","2","ARIH2",15.3676674805661,5.49767584938741,17.4723308719899,9.14267695437263,7.32017640188002,16.419999176278,NA,"Macaca_fascicularis","adipose","GSE125483"
"10","ENSMFAG00000000145","+","SLC25A3","chr11",102303709,102303834,102304006,102304128,1.22065052732e-07,6.58744401244e-06,"0.018,0.037","0.013,0.004","MXE","11","SLC25A3",199.508719149351,181.668936974026,266.437397042208,152.690423814935,167.17968039448,232.973058095779,NA,"Macaca_fascicularis","adipose","GSE125483"
