"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474318","FPKM.SRR8474335","FPKM.SRR8474344","FPKM.SRR8474354","FPKM.SRR8474364","FPKM.SRR8474367","..files.thyroid_mean_female","..files.thyroid_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMUSG00000000148","+","Brat1","chr5",140712901,140713052,NA,NA,0.000334108626198,0.0254590773163,"0.138,1.0,0.615","0.0,0.0,0.138","RI","5","Brat1",1.70241407072342,3.16371522527917,2.92608323434213,2.88572220391649,2.72261245072018,2.69592347742353,2.58395049997303,2.78153972082861,NA,"mus","thyroid","GSE125483"
"2","ENSMUSG00000000378","+","Ccm2","chr11",6585033,6585217,6589431,6589568,1.07371597104e-05,0.002675929636,"0.263,0.337,0.272","0.437,0.472,0.442","MXE","11","Ccm2",4.9358068466994,4.66172103109656,6.01663812438625,4.73031747599564,4.50717725450082,4.6796139091653,4.77594845126387,5.06780976268412,NA,"mus","thyroid","GSE125483"
"3","ENSMUSG00000000561","+","Wdr77","chr3",105965856,105966356,NA,NA,0.000123985023064,0.0139613052767,"1.0,1.0,1.0","0.786,0.823,1.0","RI","3","Wdr77",3.39824448894856,9.76753054100393,3.28880051332369,6.60153397996282,2.72401346767197,6.99036950547408,6.5891030033051,4.33439449548991,NA,"mus","thyroid","GSE125483"
"4","ENSMUSG00000001105","+","Ift20","chr11",78538509,78538738,NA,NA,0.000508451774295,0.0459986932033,"0.646,0.645,0.767","0.565,0.592,0.527","SE","11","Ift20",40.7409995377049,26.770278052459,28.5814144544262,21.1558812327869,25.5594313239344,22.8319861416393,29.5557196076503,25.65761064,NA,"mus","thyroid","GSE125483"
"5","ENSMUSG00000001348","-","Acp5","chr9",22130522,22130608,NA,NA,0.000511032917958,0.0459986932033,"0.332,0.009,0.067","0.019,0.02,0.0","SE","9","Acp5",15.8101898522167,12.2455812,6.91987181280788,6.88274640738916,6.87540637881773,3.8762738955665,11.6461724865353,5.89051736239737,NA,"mus","thyroid","GSE125483"
"6","ENSMUSG00000001576","+","Ergic1","chr17",26629900,26630079,26631925,26632026,1.17407459477e-05,0.002675929636,"0.0,0.0,0.256","0.408,0.408,1.0","MXE","17","Ergic1",5.71960874257426,9.40376655051755,10.0937468908641,7.88101235711071,8.48382626192619,4.39606075855085,7.66812921673417,7.65787797044705,NA,"mus","thyroid","GSE125483"
"7","ENSMUSG00000001751","+","Naglu","chr11",101073846,101073932,NA,NA,7.71344330164e-06,0.00135878393319,"0.931,0.922,0.898","1.0,1.0,1.0","A3SS","11","Naglu",8.33872480060196,16.6209486798345,15.8879734394281,12.6862504917231,15.9916027919488,16.0470354006772,12.5486413240532,15.9755372106847,NA,"mus","thyroid","GSE125483"
"8","ENSMUSG00000003824","+","Syce2","chr8",84883430,84883584,NA,NA,4.59536746861e-05,0.00931643795069,"1.0,0.917,0.815","0.672,0.578,0.631","SE","8","Syce2",2.51729637042683,1.9695497972561,1.69522931148374,2.03271764278455,1.54571961432927,1.95698250406504,2.17318793682249,1.73264380995935,NA,"mus","thyroid","GSE125483"
"9","ENSMUSG00000004056","+","Akt2","chr7",27607242,27607405,NA,NA,6.62704183545e-05,0.0117366442135,"0.118,0.062,0.016","0.126,0.069,0.069","SE","7","Akt2",20.7605019688683,30.5690233085121,33.032265054831,24.9155431577619,26.4107112127331,28.4699659430655,25.4150228117141,29.3043140702099,NA,"mus","thyroid","GSE125483"
"10","ENSMUSG00000004264","+","Phb2","chr6",124716030,124716424,NA,NA,0.000957458460448,0.049195961227,"1.0,0.089,1.0","0.319,0.161,0.104","RI","6","Phb2",17.0161836022055,19.2527400599785,19.3444416554599,15.0218846683701,16.3838573940291,16.9656385516407,17.0969361101847,17.5646458670432,NA,"mus","thyroid","GSE125483"
"11","ENSMUSG00000004988","-","Fxyd4","chr6",117936780,117935919,NA,NA,1.09845589596e-05,0.00175072946847,"1.0,0.966,0.937","0.732,0.801,0.887","A3SS","6","Fxyd4",22.8180849775166,16.2308871803781,21.6469069453245,15.0677237342872,15.4810746152274,14.959004926929,18.0388986307273,17.3623288291603,NA,"mus","thyroid","GSE125483"
"12","ENSMUSG00000004988","-","Fxyd4","chr6",117936737,117936780,NA,NA,6.56736762761e-06,0.00213554116221,"1.0,0.988,0.979","0.902,0.921,0.958","SE","6","Fxyd4",22.8180849775166,16.2308871803781,21.6469069453245,15.0677237342872,15.4810746152274,14.959004926929,18.0388986307273,17.3623288291603,NA,"mus","thyroid","GSE125483"
"13","ENSMUSG00000004988","-","Fxyd4","chr6",117936006,117935919,NA,NA,4.83519500061e-06,0.000899077648169,"1.0,0.958,0.919","0.692,0.706,0.828","A3SS","6","Fxyd4",22.8180849775166,16.2308871803781,21.6469069453245,15.0677237342872,15.4810746152274,14.959004926929,18.0388986307273,17.3623288291603,NA,"mus","thyroid","GSE125483"
"14","ENSMUSG00000005299","-","Letm1","chr5",33745203,33746239,NA,NA,5.12016985951e-05,0.00743156082466,"0.015,0.01,0.015","0.015,0.03,0.027","RI","5","Letm1",7.11051369865285,8.33030892497409,7.79482086487047,5.3446788946114,6.45285546818653,5.52634526455958,6.92850050607945,6.59134053253886,NA,"mus","thyroid","GSE125483"
"15","ENSMUSG00000005354","-","Txn2","chr15",77915236,77915704,NA,NA,0.000113389260209,0.0132927101968,"0.921,0.971,0.954","1.0,0.963,1.0","RI","15","Txn2",10.7031583452947,9.49845774738593,12.9476943144011,10.6307452302757,8.13907719153992,10.828717144962,10.2774537743188,10.6384962169677,NA,"mus","thyroid","GSE125483"
"16","ENSMUSG00000005886","-","Ncoa2","chr1",13164895,13165102,NA,NA,7.62286698864e-05,0.0128001682893,"1.0,1.0,0.883","0.789,0.652,0.641","SE","1","Ncoa2",4.3061017181946,0.986311332630098,1.22751754379235,4.09878580776116,0.910794387034906,1.11471012875591,3.13039961952862,1.08434068652772,NA,"mus","thyroid","GSE125483"
"17","ENSMUSG00000006019","-","Dhx34","chr7",16219184,16218950,NA,NA,0.000745139719101,0.035126516054,"0.225,0.368,0.482","1.0,0.449,1.0","A3SS","7","Dhx34",2.34549026240209,4.29885504699739,3.30027298825065,3.48755919451697,4.0611710413403,4.46821040426458,3.37730150130548,3.94321814461851,NA,"mus","thyroid","GSE125483"
"18","ENSMUSG00000006154","+","Eps8l1","chr7",4477998,4478618,NA,NA,0.000506879940267,0.0343326679541,"0.339,0.893,0.902","1.0,1.0,1.0","RI","7","Eps8l1",2.22392934642147,5.52550783581842,3.51940229522863,2.75195140159046,4.01091279307488,4.57017922017893,3.50046286127678,4.03349810282748,NA,"mus","thyroid","GSE125483"
"19","ENSMUSG00000007035","-","Msh5","chr17",35031902,35031766,NA,NA,1.11022302463e-16,3.71591646344e-13,"0.0,0.0,0.146","1.0,1.0,1.0","A3SS","17","Msh5",0.105002836047774,0.369596910423453,0.118479983170467,0.284654432500905,0.2089707446616,0.212455884907709,0.253084726324044,0.179968870913259,NA,"mus","thyroid","GSE125483"
"20","ENSMUSG00000007603","+","Dus3l","chr17",56768413,56768805,NA,NA,0.00084170318177,0.0475094684821,"0.821,0.975,0.906","1.0,0.963,1.0","RI","17","Dus3l",9.16585912126359,13.7327637863451,13.6317714466712,10.829405908288,11.6090185726902,12.6492914116848,11.2426762719656,12.6300271436821,NA,"mus","thyroid","GSE125483"
"21","ENSMUSG00000008575","-","Nfib","chr4",82310302,82310391,NA,NA,9.97625987199e-05,0.0156388223214,"1.0,1.0,1.0","1.0,0.4,0.182","SE","4","Nfib",4.3077417210002,0.196516921708899,6.77197564177308,4.6400011501638,7.03637563669185,6.45979650531524,3.0480865976243,6.75604926126006,NA,"mus","thyroid","GSE125483"
"22","ENSMUSG00000009073","-","Nf2","chr11",4799860,4799995,NA,NA,3.02325649637e-06,0.00121440063891,"1.0,0.985,0.989","0.882,0.953,0.875","SE","11","Nf2",10.6701235638095,14.401493160293,13.8280898908425,12.2805681037363,13.4150332247619,14.2768537073993,12.4507282759463,13.8399922743346,NA,"mus","thyroid","GSE125483"
"23","ENSMUSG00000011884","-","Gltp","chr5",114674204,114674185,NA,NA,8.92017394205e-06,0.0014927911092,"1.0,0.941,0.957","0.984,1.0,1.0","A3SS","5","Gltp",34.383858,43.349262,46.282536,45.841335,39.623455,41.888969,41.191485,42.59832,NA,"mus","thyroid","GSE125483"
"24","ENSMUSG00000012296","-","Tjap1","chr17",46263813,46263810,NA,NA,0.00036033578941,0.0231931516761,"0.215,0.0,0.076","0.311,0.361,0.21","A3SS","17","Tjap1",2.79419428823655,4.5507345313763,4.21555211699638,4.81518721080621,4.28412939225697,5.24262567879175,4.05337201013969,4.5807690626817,NA,"mus","thyroid","GSE125483"
