,id,strand,symbol.x,chr.x,as_site1,as_site2,as_site3,as_site4,as_pvalue,IncLevel1,IncLevel2,as_type,FPKM.SRR8474229,FPKM.SRR8474240,FPKM.SRR8474258,FPKM.SRR8474281,FPKM.SRR8474290,female,m,..files.adrenal_mean_female,..files.adrenal_mean_male,Remark,Organism,Tissue,GEO_accession
1,ENSCAFG00000000012,-,ATP9B,chr1,1283602,1283697,NA,NA,9.91E-05,"1.0,1.0,0.975","0.901,0.908",SE,10.371099,10.99673426,10.16509848,9.199238995,9.036055449,"10.371099,10.1650984819971,9.19923899471915","10.9967342590014,9.0360554493519",9.911812159,6.677596569,NA,dog,adrenal,GSE125483
2,ENSCAFG00000000079,-,RELCH,chr1,14598755,14598838,NA,NA,0.000613698,"1.0,0.892,0.827","1.0,1.0",SE,4.997161225,8.448886413,8.193302816,7.60574314,9.036150223,"4.99716122514315,8.19330281624154,7.60574313951067","8.44888641254555,9.03615022254034",6.93206906,5.828345545,NA,dog,adrenal,GSE125483
3,ENSCAFG00000000083,+,PIGN,chr1,14750272,14750381,NA,NA,0.000364702,"1.0,1.0,0.938","0.734,0.846",SE,1.356004805,2.60184078,2.00106341,2.088072854,2.483011781,"1.35600480542986,2.00106340995475,2.08807285384615","2.60184077986425,2.48301178099547",1.815047023,1.694950854,NA,dog,adrenal,GSE125483
4,ENSCAFG00000000197,+,COMMD10,chr11,5806539,5806650,NA,NA,0.000258751,"1.0,0.94,0.625","1.0,1.0",SE,25.90157082,39.38443601,32.36355552,25.17970768,27.71749632,"25.9015708185185,32.3635555222222,25.1797076805556","39.3844360111111,27.7174963175926",27.81494467,22.36731078,NA,dog,adrenal,GSE125483
5,ENSCAFG00000000197,+,COMMD10,chr11,5802527,5802618,NA,NA,1.18E-05,"1.0,0.96,0.823","1.0,1.0",SE,25.90157082,39.38443601,32.36355552,25.17970768,27.71749632,"25.9015708185185,32.3635555222222,25.1797076805556","39.3844360111111,27.7174963175926",27.81494467,22.36731078,NA,dog,adrenal,GSE125483
6,ENSCAFG00000000197,+,COMMD10,chr11,5808286,5808442,NA,NA,9.76E-05,"0.903,1.0,0.958","1.0,0.992",SE,25.90157082,39.38443601,32.36355552,25.17970768,27.71749632,"25.9015708185185,32.3635555222222,25.1797076805556","39.3844360111111,27.7174963175926",27.81494467,22.36731078,NA,dog,adrenal,GSE125483
7,ENSCAFG00000000275,-,NHSL1,chr1,30755555,30755687,NA,NA,8.08E-07,"1.0,1.0,0.562","0.259,0.023",SE,1.111839312,0.499861768,0.734819852,0.59057585,0.926258256,"1.11183931181102,0.734819852362205,0.590575849606299","0.499861767519685,0.926258255905512",0.812411671,0.475373341,NA,dog,adrenal,GSE125483
8,ENSCAFG00000000351,-,C10H12orf56,chr10,7053089,7053163,NA,NA,1.50E-05,"1.0,1.0,1.0","1.0,0.616",SE,1.314573,0.730165,1.359591,1.14097,1.510454,"1.314573,1.359591,1.14097","0.730165,1.510454",1.271711333,0.746873,NA,dog,adrenal,GSE125483
9,ENSCAFG00000000365,+,MRNIP,chr11,1849131,1849204,NA,NA,0.000520762,"1.0,1.0,1.0","0.855,0.906",SE,5.220072,3.712797039,4.573028,4.96692,5.621130369,"5.220072,4.573028,4.96692","3.71279703883495,5.62113036893204",4.920006667,3.111309136,NA,dog,adrenal,GSE125483
10,ENSCAFG00000000398,-,LRP11,chr1,40569556,40569698,NA,NA,0.00032288,"0.955,1.0,0.971","1.0,0.904",SE,15.90368446,23.08901884,26.10773278,32.64554653,26.35565041,"15.9036844605782,26.1077327766097,32.6455465272668","23.089018837385,26.3556504129435",24.88565459,16.48155642,NA,dog,adrenal,GSE125483
11,ENSCAFG00000000412,-,MDM1,chr10,10547612,10547959,NA,NA,0.000501667,"0.731,1.0,1.0","1.0,0.638",SE,5.414145,8.499386361,7.3200941,3.315507823,7.072963579,"5.414145,7.32009409977827,3.31550782261641","8.49938636141907,7.07296357871397",5.349915641,5.190783313,NA,dog,adrenal,GSE125483
12,ENSCAFG00000000416,+,C12H6orf136,chr12,458783,458872,NA,NA,2.99E-05,"0.99,0.991,0.97","1.0,0.9",SE,52.083466,38.774921,50.019318,37.177845,45.113777,"52.083466,50.019318,37.177845","38.774921,45.113777",46.42687633,27.96289933,NA,dog,adrenal,GSE125483
13,ENSCAFG00000000424,+,CPSF6,chr10,11279079,11279190,NA,NA,0.000857015,"0.147,0.235,0.144","0.163,0.086",SE,13.52283494,15.8596837,17.20630526,16.88582979,16.20614524,"13.5228349431862,17.2063052583493,16.8858297915547","15.8596837044146,16.2061452368522",15.87165666,10.68860965,NA,dog,adrenal,GSE125483
14,ENSCAFG00000000429,+,CCDC170,chr1,41882303,41882448,NA,NA,0.000297018,"1.0,1.0,1.0","1.0,0.795",SE,1.651759857,2.506651972,1.397951365,3.524957375,1.666058587,"1.6517598573227,1.39795136466639,3.52495737473773","2.50665197230382,1.66605858665548",2.191556199,1.39090352,NA,dog,adrenal,GSE125483
15,ENSCAFG00000000433,+,GFPT2,chr11,1416788,1416950,NA,NA,8.45E-06,"1.0,1.0,0.962","1.0,0.996",SE,55.98250149,43.42470871,30.10641356,171.5097055,54.81105741,"55.9825014916325,30.1064135620461,171.509705477423","43.4247087091885,54.8110574070098",85.86620684,32.74525537,NA,dog,adrenal,GSE125483
16,ENSCAFG00000000481,-,CAPS2,chr10,15877117,15877291,NA,NA,0.000495401,"0.67,1.0,0.188","1.0,1.0",SE,1.89443005,0.320198046,3.164413185,1.155444605,1.695277974,"1.89443004964241,3.16441318510728,1.15544460454354","0.32019804627682,1.6952779739167",2.07142928,0.67182534,NA,dog,adrenal,GSE125483
17,ENSCAFG00000000529,-,RGS22,chr13,1987121,1987251,NA,NA,0.000430183,"0.767,1.0,0.862","1.0,1.0",SE,10.5723883,18.99183967,8.81488481,7.050992067,8.084376567,"10.572388304912,8.81488480954588,7.05099206672845","18.9918396723818,8.08437656696015",8.81275506,9.025405413,NA,dog,adrenal,GSE125483
