"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474243","FPKM.SRR8474263","FPKM.SRR8474274","FPKM.SRR8474285","FPKM.SRR8474296","..files.lung_mean_female","..files.lung_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSCAFG00000000009","+","SLC66A2","chr1",772466,772520,791174,791391,0.000243338453805,0.00227083574354,"0.192,0.308","0.129,0.166,0.13","MXE","1","SLC66A2",8.46978653217529,6.79379159731544,8.42516552072641,10.9851158586656,5.96232632372681,8.88945372799052,11.4286391883143,NA,"dog","lung","GSE125483"
"2","ENSCAFG00000000011","-","NFATC1","chr1",1052035,1052146,NA,NA,4.27784198964e-06,2.37932864382e-05,"0.0,0.009","0.103,0.172,0.196","RI","1","NFATC1",6.86817993282926,4.20474780024618,6.8694699804818,5.32250654738878,5.0787411127132,4.76362717381748,9.40819551301213,NA,"dog","lung","GSE125483"
"3","ENSCAFG00000000029","+","FBXO15","chr1",5201427,5201510,NA,NA,0.000252034416137,0.00920321899429,"0.758,0.48","1.0,0.847,1.0","SE","1","FBXO15",3.199412,5.237868,1.773328,0.237438,1.865043,2.737653,3.4188915,NA,"dog","lung","GSE125483"
"4","ENSCAFG00000000037","+","RTTN","chr1",8309879,8310006,NA,NA,0.00167192681256,0.0374554613777,"0.872,0.913","1.0,0.963,1.0","SE","1","RTTN",2.41933716680464,3.720999,2.556558,2.585837,2.506735,3.153418,3.74131508340232,NA,"dog","lung","GSE125483"
"5","ENSCAFG00000000071","+",NA,"chr10",204677,204852,205000,205152,2.8680830679e-05,0.000380264522984,"0.242,0.223","0.371,0.329,0.283","MXE","10","ENSCAFG00000000071",62.889584,67.930618,65.015106,63.074364,66.112724,65.502491,97.008707,NA,"dog","lung","GSE125483"
"6","ENSCAFG00000000079","-","RELCH","chr1",14618733,14618881,NA,NA,0.000632783947138,0.0184620358681,"0.907,0.924","1.0,0.975,0.98","SE","1","RELCH",10.1126774062988,16.7712494526288,13.4849385676731,11.977056211088,14.2510532524727,14.3741528318584,18.9243346132223,NA,"dog","lung","GSE125483"
"7","ENSCAFG00000000083","+","PIGN","chr1",14750272,14750381,NA,NA,0.000564248268687,0.0169012490868,"1.0,0.89","1.0,0.986,0.942","SE","1","PIGN",3.35958704253394,5.4572498260181,5.50949024751131,4.44319936674208,5.98890037556561,4.95022459638009,7.42898883280543,NA,"dog","lung","GSE125483"
"8","ENSCAFG00000000083","+","PIGN","chr1",14740577,14740717,NA,NA,0.0011754773991,0.0289596397985,"0.851,0.927","1.0,1.0,1.0","SE","1","PIGN",3.35958704253394,5.4572498260181,5.50949024751131,4.44319936674208,5.98890037556561,4.95022459638009,7.42898883280543,NA,"dog","lung","GSE125483"
"9","ENSCAFG00000000103","-","ZNF532","chr1",17184822,17184985,17191392,17191569,0.000184201410436,0.00179277466916,"0.603,0.977","0.614,0.593,0.579","MXE","1","ZNF532",55.0660009770024,51.3628540348929,55.3602719666931,50.0808564881047,37.9832177668517,50.7218552614988,74.2047453552736,NA,"dog","lung","GSE125483"
"10","ENSCAFG00000000103","-","ZNF532","chr1",17184822,17184985,17195705,17195887,9.98282567409e-05,0.00106609902754,"0.534,0.989","0.557,0.547,0.494","MXE","1","ZNF532",55.0660009770024,51.3628540348929,55.3602719666931,50.0808564881047,37.9832177668517,50.7218552614988,74.2047453552736,NA,"dog","lung","GSE125483"
