"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474208","FPKM.SRR8474209","FPKM.SRR8474210","FPKM.SRR8474211","FPKM.SRR8474212","FPKM.SRR8474213","FPKM.SRR8474214","FPKM.SRR8474215","..files.testis_1.txt_mean_female","..files.testis_2.txt_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMFAG00000000049","-","C1orf185","chr1",176431305,176431441,NA,NA,0.00209263860249,0.049006520627,"0.969,0.972,0.982,0.976","0.99,0.985,0.988,0.978","SE","1","C1orf185",102.073136115127,97.7167164511379,98.6589761445783,73.9389995033467,100.061893202142,93.8597440254351,101.15308954083,97.8247058259706,93.0969570535475,98.2248581485944,NA,"Macaca_fascicularis","testis","GSE125483"
"2","ENSMFAG00000000055","-","AXIN2","chr16",62749066,62749162,NA,NA,0.000381107814269,0.0136269281883,"0.768,0.784,0.863,0.824","0.986,0.827,0.888,0.858","SE","16","AXIN2",7.76238841936816,7.88707514226719,6.68736125480074,6.96218287528391,6.82531848069378,7.75422657774107,8.40649025211646,5.96449326388602,7.32475192293,7.23763214360933,NA,"Macaca_fascicularis","testis","GSE125483"
"3","ENSMFAG00000000073","-","GNS","chr11",63759344,63759446,63767434,63767538,4.39782367623e-06,4.4168161969e-05,"0.99,1.0,0.813,0.77","0.832,0.795,0.761,0.841","MXE","11","GNS",13.7304992665417,12.6091772401125,11.9146507113402,12.433072366448,12.1597029390815,12.7785238678538,13.1068059025305,12.3770899906279,12.6718498961106,12.6055306750234,NA,"Macaca_fascicularis","testis","GSE125483"
"4","ENSMFAG00000000077","+","TBC1D15","chr11",70983452,70983663,NA,NA,1.513513396e-05,0.00126782994729,"0.966,0.965,0.988,0.99","0.968,1.0,1.0,1.0","SE","11","TBC1D15",54.8030755105875,52.6077323492395,50.9528104252908,43.908784116612,51.7491615174471,50.3184778538622,52.8206870268416,51.286570558306,50.5681006004325,51.5437242391142,NA,"Macaca_fascicularis","testis","GSE125483"
"5","ENSMFAG00000000092","+","TCTE3","chr4",993861,994068,NA,NA,0.000167452146804,0.00732062168632,"0.729,0.747,0.878,0.853","0.873,0.874,0.878,0.856","SE","4","TCTE3",94.858475,97.927765,95.396423,76.860374,96.561935,92.760895,95.261284,102.22097,91.26075925,96.701271,NA,"Macaca_fascicularis","testis","GSE125483"
"6","ENSMFAG00000000110","+","PLEKHA7","chr14",50939967,50940110,NA,NA,0.00208327779683,0.0488653640024,"0.828,0.691,1.0,0.849","1.0,1.0,0.768,1.0","SE","14","PLEKHA7",3.25111535543562,2.98015834387047,2.98413872243639,3.72055131842714,3.34511219814958,3.25319745643793,3.03893679953739,2.86959300154202,3.2339909350424,3.12670986391673,NA,"Macaca_fascicularis","testis","GSE125483"
"7","ENSMFAG00000000120","+","BTBD10","chr14",54272803,54272961,NA,NA,0.000465943311563,0.0158887763472,"0.754,0.799,0.829,0.839","0.906,0.839,0.844,0.886","SE","14","BTBD10",12.759877911887,12.5402645594347,11.6500550299252,11.0801625224439,12.3789294567747,12.5419226431837,12.9415950004156,12.7074025712801,12.0075900059227,12.6424624179135,NA,"Macaca_fascicularis","testis","GSE125483"
"8","ENSMFAG00000000149","-","HK3","chr6",176672525,176672662,NA,NA,0.000157461390349,0.00700217588225,"0.647,0.812,0.816,0.724","0.832,0.878,1.0,1.0","SE","6","HK3",1.891462,1.999143,2.167696,2.475346,2.353649,2.018362,1.979103,1.915952,2.13341175,2.0667665,NA,"Macaca_fascicularis","testis","GSE125483"
"9","ENSMFAG00000000152","-","ZNF229","chr19",45143996,45144161,NA,NA,4.02377310215e-05,0.00260626717279,"0.783,0.451,1.0,0.546","0.751,0.706,1.0,1.0","SE","19","ZNF229",1.89904387598586,1.57606768860484,1.26399693092195,1.57486477563231,1.54136135518085,1.44971105683981,1.627499,1.36077,1.57849331778624,1.49483535300517,NA,"Macaca_fascicularis","testis","GSE125483"
"10","ENSMFAG00000000152","-","ZNF229","chr19",45128722,45128704,NA,NA,0.000734001750554,0.00703418344281,"0.37,0.337,0.0,0.0","1.0,0.186,1.0,1.0","A5SS","19","ZNF229",1.89904387598586,1.57606768860484,1.26399693092195,1.57486477563231,1.54136135518085,1.44971105683981,1.627499,1.36077,1.57849331778624,1.49483535300517,NA,"Macaca_fascicularis","testis","GSE125483"
"11","ENSMFAG00000000158","+","SAXO1","chr15",59837610,59837813,NA,NA,3.15029746578e-06,0.000405312696132,"0.833,0.844,0.906,0.918","0.913,0.911,0.931,0.926","SE","15","SAXO1",103.018786573953,109.067019407907,114.580935668372,116.201644393488,116.59829592,114.14010281907,102.069369246977,113.01359111814,110.71709651093,111.455339776047,NA,"Macaca_fascicularis","testis","GSE125483"
