"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474238","FPKM.SRR8474256","FPKM.SRR8474268","FPKM.SRR8474289","FPKM.SRR8474300","..files.thyroid_mean_female","..files.thyroid_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSCAFG00000000008","+","TXNL4A","chr1",724778,724848,NA,NA,4.45210596256e-06,0.000669853298808,"1.0,1.0,1.0","0.926,0.946","SE","1","TXNL4A",94.6282608141391,82.9035921915621,99.0989779897377,100.299594899658,97.0567761596351,98.0089445678449,59.9867894503991,NA,"Macaca_fascicularis","dog","GSE125483"
"2","ENSCAFG00000000009","+","SLC66A2","chr1",772466,772520,791174,791391,0.00298630905475,0.0277853456939,"0.125,0.068,0.146","0.295,0.171","MXE","1","SLC66A2",4.08034262850375,4.30065841610738,4.70347463482037,4.12062859928938,3.49750604184761,4.3014819542045,2.59938815265166,NA,"Macaca_fascicularis","dog","GSE125483"
"3","ENSCAFG00000000012","-","ATP9B","chr1",1244695,1244772,NA,NA,5.29837814178e-06,0.000750537810073,"0.975,1.0,0.984","0.882,0.895","SE","1","ATP9B",10.9982804793567,12.0528077280365,12.1071912904465,11.2352028038886,12.1694869359097,11.4468915245639,8.0740982213154,NA,"Macaca_fascicularis","dog","GSE125483"
"4","ENSCAFG00000000016","+","MBP","chr1",2919223,2919660,2926747,2926825,0.00103028002,0.0122263990614,"0.973,0.97,0.968","0.829,0.971","MXE","1","MBP",16.6444083659746,13.6585951403781,16.823579724202,11.0669836882553,14.1347648159281,14.8449905928106,9.26445331876873,NA,"Macaca_fascicularis","dog","GSE125483"
"5","ENSCAFG00000000060","-","ITGA7","chr10",103555,103675,NA,NA,0.000500522721416,0.0226656134745,"0.764,0.715,0.805","0.567,0.593","SE","10","ITGA7",16.4548721691658,14.4553004270327,12.7644212359029,12.9849643558606,20.5013020682154,14.0680859203098,11.6522008317494,NA,"Macaca_fascicularis","dog","GSE125483"
"6","ENSCAFG00000000071","+",NA,"chr10",204677,204852,205000,205152,3.32718425895e-05,0.000817208902223,"0.316,0.361,0.355","0.217,0.285","MXE","10","ENSCAFG00000000071",76.126633,74.32634,63.105396,68.398666,71.480057,69.2102316666667,48.6021323333333,NA,"Macaca_fascicularis","dog","GSE125483"
"7","ENSCAFG00000000103","-","ZNF532","chr1",17184822,17184985,17191392,17191569,0.00102021282853,0.012169332926,"0.535,0.53,0.6","0.977,0.553","MXE","1","ZNF532",40.3087141808089,38.2348540892149,34.2879250979381,51.2458489837431,32.6596192753767,41.9474960874967,23.6314911215305,NA,"Macaca_fascicularis","dog","GSE125483"
"8","ENSCAFG00000000103","-","ZNF532","chr1",17184822,17184985,17195705,17195887,0.00451822834483,0.0381281512239,"0.482,0.506,0.549","0.986,0.444","MXE","1","ZNF532",40.3087141808089,38.2348540892149,34.2879250979381,51.2458489837431,32.6596192753767,41.9474960874967,23.6314911215305,NA,"Macaca_fascicularis","dog","GSE125483"
"9","ENSCAFG00000000103","-","ZNF532","chr1",17156256,17156404,17158480,17158593,0.00230904834232,0.0228884990752,"0.267,0.247,0.268","0.111,0.243","MXE","1","ZNF532",40.3087141808089,38.2348540892149,34.2879250979381,51.2458489837431,32.6596192753767,41.9474960874967,23.6314911215305,NA,"Macaca_fascicularis","dog","GSE125483"
"10","ENSCAFG00000000103","-","ZNF532","chr1",17195705,17195887,17208615,17210978,0.00111083394136,0.012971002416,"0.462,0.505,0.473","0.05,0.451","MXE","1","ZNF532",40.3087141808089,38.2348540892149,34.2879250979381,51.2458489837431,32.6596192753767,41.9474960874967,23.6314911215305,NA,"Macaca_fascicularis","dog","GSE125483"
"11","ENSCAFG00000000103","-","ZNF532","chr1",17191392,17191569,17208615,17210978,0.000128048902229,0.00231323125548,"0.403,0.435,0.403","0.038,0.381","MXE","1","ZNF532",40.3087141808089,38.2348540892149,34.2879250979381,51.2458489837431,32.6596192753767,41.9474960874967,23.6314911215305,NA,"Macaca_fascicularis","dog","GSE125483"
"12","ENSCAFG00000000105","-","MALT1","chr1",17381830,17381863,17382384,17382481,0.00262103244392,0.0251316687796,"0.756,0.743,0.535","0.819,0.942","MXE","1","MALT1",14.724557,3.985,5.30132302708421,19.961403,6.242357,13.3290943423614,3.409119,NA,"Macaca_fascicularis","dog","GSE125483"
"13","ENSCAFG00000000109","-","SMARCC2","chr10",483185,482843,NA,NA,7.01176264104e-05,0.00231972480708,"0.769,0.816,0.717","0.508,0.651","A5SS","10","SMARCC2",57.8617023887101,54.8211997090864,59.4888606325823,59.0118582371874,55.3881608925477,58.7874737528266,36.736453533878,NA,"Macaca_fascicularis","dog","GSE125483"
"14","ENSCAFG00000000118","-",NA,"chr10",618410,618614,619476,619592,2.32539784579e-05,0.000594586341493,"0.52,0.488,0.529","0.996,0.517","MXE","10","ENSCAFG00000000118",153.943604,158.780197,130.803879,136.43898,162.729172,140.395487666667,107.169789666667,NA,"Macaca_fascicularis","dog","GSE125483"
"15","ENSCAFG00000000134","+","RBMS2","chr10",767489,767576,808866,808925,0.00087556378424,0.01075261337,"0.233,0.231,0.215","0.015,0.185","MXE","10","RBMS2",17.580179,17.542757,15.712333,16.427631,18.596474,16.573381,12.0464103333333,NA,"Macaca_fascicularis","dog","GSE125483"
"16","ENSCAFG00000000137","+","TXNL1","chr1",19173346,19173501,NA,NA,0.000279465855518,0.0149446891532,"1.0,1.0,1.0","0.064,1.0","SE","1","TXNL1",39.6835273371274,40.3773464607046,41.9041518552846,40.5585394639566,50.4824746937669,40.7154062187895,30.2866070514905,NA,"Macaca_fascicularis","dog","GSE125483"
"17","ENSCAFG00000000150","-","POLI","chr1",21185577,21185742,NA,NA,0.00027830136269,0.0149123613477,"1.0,0.913,1.0","0.852,0.955","SE","1","POLI",20.07687,19.367687,14.375282,15.218831,23.728037,16.5569943333333,14.3652413333333,NA,"Macaca_fascicularis","dog","GSE125483"
"18","ENSCAFG00000000189","-","SLC18B1","chr1",25804685,25804787,25806429,25806566,7.17590106225e-08,5.86541683547e-06,"0.175,0.192,0.203","0.005,0.148","MXE","1","SLC18B1",33.1895910455208,26.741669679898,27.860832813547,26.4944806806264,32.0546935396941,29.1816348465647,19.598787739864,NA,"Macaca_fascicularis","dog","GSE125483"
"19","ENSCAFG00000000189","-","SLC18B1","chr1",25806429,25806566,25813835,25813983,0.000429046051248,0.00607733980546,"0.775,0.762,0.746","0.992,0.754","MXE","1","SLC18B1",33.1895910455208,26.741669679898,27.860832813547,26.4944806806264,32.0546935396941,29.1816348465647,19.598787739864,NA,"Macaca_fascicularis","dog","GSE125483"
"20","ENSCAFG00000000224","+","YTHDC2","chr11",3595137,3595430,3603075,3603253,0.000352438514774,0.00519898945167,"0.439,0.41,0.393","0.163,0.325","MXE","11","YTHDC2",6.251001,4.595183,5.218997,6.78971,5.237244,6.08656933333333,3.27747566666667,NA,"Macaca_fascicularis","dog","GSE125483"
"21","ENSCAFG00000000226","-","HBS1L","chr1",27776534,27776753,27778918,27779047,0.000397958086863,0.00571821043544,"0.849,0.833,0.848","0.997,0.842","MXE","1","HBS1L",18.5947768549056,16.6570795414555,16.3611101853984,17.1177464926301,18.2090234170889,17.3578778443114,11.6220343195148,NA,"Macaca_fascicularis","dog","GSE125483"
"22","ENSCAFG00000000235","-","N4BP3","chr11",3417340,3417454,NA,NA,0.00816143737964,0.0276857599508,"0.0,0.0,0.152","0.0,0.0","RI","11","N4BP3",1.87591977516779,3.33461737919463,1.7150932114094,2.80782270805369,3.87690879194631,2.13294523154363,2.40384205704698,NA,"Macaca_fascicularis","dog","GSE125483"
"23","ENSCAFG00000000249","+","PIP4K2C","chr10",1676912,1677059,1677242,1677281,0.00345387768483,0.0308620683451,"0.74,0.746,0.766","0.599,0.718","MXE","10","PIP4K2C",335.42804,372.539093,397.406708,371.927887,385.447998,368.254211666667,252.662363666667,NA,"Macaca_fascicularis","dog","GSE125483"
"24","ENSCAFG00000000252","+","SLC26A10","chr10",1697640,1698097,NA,NA,0,0,"0.031,0.173,0.048","0.001,0.028","RI","10","SLC26A10",22.6902631288235,29.7343838388235,35.2862843608823,32.9795198820588,24.5142790888235,30.3186891239215,18.082887642549,NA,"Macaca_fascicularis","dog","GSE125483"
"25","ENSCAFG00000000252","+","SLC26A10","chr10",1699848,1699996,NA,NA,0.00028443006389,0.0151493140629,"0.991,0.951,0.947","0.864,0.917","SE","10","SLC26A10",22.6902631288235,29.7343838388235,35.2862843608823,32.9795198820588,24.5142790888235,30.3186891239215,18.082887642549,NA,"Macaca_fascicularis","dog","GSE125483"
"26","ENSCAFG00000000303","+","AIG1","chr1",34835216,34835332,34877770,34877934,5.52509797058e-06,0.000184819783446,"0.272,0.264,0.284","0.019,0.265","MXE","1","AIG1",68.1736156511514,57.4475046658501,54.1394329431651,55.1274991920627,67.9243883067124,59.1468492621264,41.7906309908542,NA,"Macaca_fascicularis","dog","GSE125483"
"27","ENSCAFG00000000344","-","RUFY1","chr11",2101296,2101358,2110043,2110167,3.79454548682e-06,0.000137098578241,"0.441,0.401,0.397","0.016,0.307","MXE","11","RUFY1",14.2446098874419,15.07194512,14.4727641348837,14.3786247032558,16.9197289739535,14.3653329085271,10.6638913646512,NA,"Macaca_fascicularis","dog","GSE125483"
"28","ENSCAFG00000000344","-","RUFY1","chr11",2064157,2064235,NA,NA,0.00035057538168,0.0177156982723,"1.0,1.0,1.0","0.961,0.922","SE","11","RUFY1",14.2446098874419,15.07194512,14.4727641348837,14.3786247032558,16.9197289739535,14.3653329085271,10.6638913646512,NA,"Macaca_fascicularis","dog","GSE125483"
"29","ENSCAFG00000000352","+","XPOT","chr10",7153924,7153972,7157957,7158029,0.00172317383358,0.0181561239445,"0.503,0.528,0.545","0.429,0.447","MXE","10","XPOT",38.5067047107118,41.8743802842847,43.4372305926768,46.5558437725722,42.5640543193086,42.8332596919869,28.1461448678644,NA,"Macaca_fascicularis","dog","GSE125483"
"30","ENSCAFG00000000352","+","XPOT","chr10",7133419,7133489,NA,NA,0.00108105628272,0.0391695372315,"0.985,0.992,0.99","0.954,0.977","SE","10","XPOT",38.5067047107118,41.8743802842847,43.4372305926768,46.5558437725722,42.5640543193086,42.8332596919869,28.1461448678644,NA,"Macaca_fascicularis","dog","GSE125483"
"31","ENSCAFG00000000361","+","TBC1D30","chr10",7490915,7491084,7495304,7495410,0.000574208692543,0.00769624876618,"0.454,0.434,0.397","0.021,0.386","MXE","10","TBC1D30",6.34185645718433,7.99972012685051,9.86440608679245,7.94973062264151,8.26044055413643,8.0519977222061,5.42005356032898,NA,"Macaca_fascicularis","dog","GSE125483"
