"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474391","FPKM.SRR8474403","FPKM.SRR8474413","FPKM.SRR8474423","FPKM.SRR8474434","..files.thyroid_mean_female","..files.thyroid_mean_male"
"1","ENSRNOG00000000043","-","Idua","chr14",2044186,2044399,NA,NA,0.000203704034292,0.0091495874983,"0.973,0.955","0.93,0.791,0.958","SE","14","Idua",54.103672,56.536369,56.523247,53.419693,78.327248,67.4252475,82.029867
"2","ENSRNOG00000000082","+","Hltf","chr2",104860746,104860913,NA,NA,0.000848416673202,0.0234381948042,"1.0,1.0","0.801,0.863,1.0","SE","2","Hltf",2.98957875092555,11.598999533731,6.52281118757713,2.84347362628548,5.09975287186343,5.81128202972028,8.71602595547101
"3","ENSRNOG00000000098","+","Rnf115","chr2",198888662,198888721,198892489,198892547,0.00271627068025,0.034965327482,"0.404,0.367","0.286,0.268,0.297","MXE","2","Rnf115",26.181805,32.887119,30.976244,26.252211,28.327431,29.6518375,42.6605675
"4","ENSRNOG00000000121","-","Pigv","chr5",151889559,151890681,NA,NA,8.95162156755e-06,0.000986155161151,"1.0,0.933","0.838,0.45,0.681","SE","5","Pigv",3.46570843523921,4.11389885453131,4.49161483508363,2.61148593154415,4.41445646168806,4.45303564838584,5.09554661065734
"5","ENSRNOG00000000175","+","Mier2","chr7",13053555,13054013,NA,NA,2.06737164898e-06,1.55545105018e-05,"0.313,0.228","0.175,0.023,0.196","RI","7","Mier2",4.68293854438257,4.60383634195873,4.98349778611202,4.2463992168359,5.00042544317065,4.99196161464134,6.7665870515886
"6","ENSRNOG00000000219","-","Ano10","chr8",130908127,130908262,NA,NA,0.000578695032315,0.0182651508234,"1.0,1.0","1.0,0.945,0.931","SE","8","Ano10",15.8439,19.090206,21.856899,16.048534,20.686703,21.271801,25.49132
"7","ENSRNOG00000000231","+","Kctd17","chr7",119655760,119655823,NA,NA,1.50008348276e-05,0.00144887762553,"1.0,1.0","1.0,0.57,0.638","SE","7","Kctd17",3.031761,4.298858,7.291007,2.671729,6.878883,7.084945,5.001174
"8","ENSRNOG00000000304","+","Cd164","chr20",46259706,46259846,NA,NA,1.62885746068e-05,9.68876601638e-05,"1.0,1.0","0.905,0.014,1.0","RI","20","Cd164",123.72903674739,185.947337360473,163.877699069589,141.061719329854,180.601143494781,172.239421282185,225.369046718858
"9","ENSRNOG00000000307","+","Mical1","chr20",46205729,46205856,NA,NA,1.60466574251e-07,4.39099632694e-05,"0.589,0.782","1.0,1.0,1.0","SE","20","Mical1",0.707744,1.487696,5.892189,0.766281,2.4622,4.1771945,1.4808605
"10","ENSRNOG00000000396","-","Ddx50","chr20",32244991,32245151,32245373,32245447,0.000106773102304,0.00280794270697,"0.565,0.553","0.683,0.983,0.577","MXE","20","Ddx50",23.3298769559699,26.5406431614439,24.4177374823483,22.6570420178501,24.8109151356605,24.6143263090044,36.263781067632
"11","ENSRNOG00000000422","+","Dxo","chr20",4518441,4518661,NA,NA,0.000352992040927,0.0133368698757,"1.0,1.0","1.0,0.785,0.939","SE","20","Dxo",4.611187,5.11608,9.747497,3.886699,8.2996,9.0235485,6.806983
"12","ENSRNOG00000000439","+","Ager","chr20",4363904,4364077,NA,NA,5.49149800106e-05,0.000241015745602,"0.212,0.151","0.183,0.013,0.116","RI","20","Ager",9.6180075652834,7.48543259969636,10.972212201417,8.29036450506073,14.9370394347166,12.9546258180668,12.6969023350202
"13","ENSRNOG00000000439","+","Ager","chr20",4363256,4363457,NA,NA,0.00217245361073,0.00612942268742,"0.258,0.207","0.215,0.0,0.207","RI","20","Ager",9.6180075652834,7.48543259969636,10.972212201417,8.29036450506073,14.9370394347166,12.9546258180668,12.6969023350202
"14","ENSRNOG00000000456","+","Psmb8","chr20",3992068,3992436,NA,NA,5.38353260015e-05,0.000241015745602,"0.024,0.024","0.0,0.0,0.012","RI","20","Psmb8",9.05066662633108,7.31040144724105,16.3812264259439,9.02650561277832,12.1263073141336,14.2537668700387,12.6937868431752
"15","ENSRNOG00000000464","+","Rxrb","chr20",3827966,3828066,NA,NA,4.44068255427e-05,0.000212614498053,"0.107,0.127","0.139,0.0,0.118","RI","20","Rxrb",7.43316643573295,8.97553067925873,10.9687258819197,6.09294098408173,11.2428457410311,11.1057858114754,11.2508190495367
