,id,strand,symbol.x,chr.x,as_site1,as_site2,as_site3,as_site4,as_pvalue,IncLevel1,IncLevel2,as_type,female,male,..files.brain_mean_female,..files.brain_mean_male,Remark,Organism,Tissue,GEO_accession
1,ENSCAFG00000000012,-,ATP9B,chr1,1310566,1310625,NA,NA,0.001120037,"0.906,1.0,0.804","0.69,0.764,0.642",SE,"7.67637749495919,7.44330760897744,7.23643819203072","6.96734431949112,7.96237242318771,7.496762",7.452041099,7.475492914,NA,dog,brain,GSE125483
2,ENSCAFG00000000016,+,MBP,chr1,2940331,2940439,2942573,2942609,0.001052245,"0.151,0.423,0.36","0.1,0.124,0.276",MXE,"555.616765862411,384.918837672141,346.174757160211","544.967413206694,878.372832017354,184.228385506043",428.9034536,535.8562102,NA,dog,brain,GSE125483
3,ENSCAFG00000000037,+,RTTN,chr1,8285665,8285861,NA,NA,5.9348E-06,"1.0,1.0,1.0","0.637,0.872,0.745",SE,"1.6936843125,1.692735,1.789765","1.589856,2.405171,2.081478",1.725394771,2.025501667,NA,dog,brain,GSE125483
4,ENSCAFG00000000070,-,PHLPP1,chr1,14106333,14106467,14124546,14124672,0.002943659,"0.99,0.63,0.62","1.0,0.996,0.572",MXE,"17.9568971109598,17.1067313927842,19.0240436541865","17.1112927469934,23.2072592455185,18.7298476641706",18.02922405,19.68279989,NA,dog,brain,GSE125483
5,ENSCAFG00000000078,+,DGKA,chr10,277870,277920,NA,NA,0.000125098,"0.981,1.0,1.0","0.929,0.912,0.746",SE,"5.51971319598662,6.51693250234114,6.22437367692308","4.78439488160535,7.03367633177258,6.50862706354515",6.087006458,6.108899426,NA,dog,brain,GSE125483
6,ENSCAFG00000000083,+,PIGN,chr1,14760457,14760560,14767252,14767355,8.68187E-05,"0.131,0.375,0.26","0.107,0.034,0.161",MXE,"3.30206249253394,3.20676010045249,3.08600206221719","2.55255972511312,3.88556569298643,4.56826629253394",3.198274885,3.668797237,NA,dog,brain,GSE125483
7,ENSCAFG00000000103,-,ZNF532,chr1,17184822,17184985,17208615,17210978,0.003746717,"0.041,0.512,0.421","0.023,0.037,0.366",MXE,"18.9679736469072,23.7423397731959,21.5601945828707","17.420195618755,31.9778531306503,30.2163517942109",21.42350267,26.53813351,NA,dog,brain,GSE125483
8,ENSCAFG00000000116,-,NEDD4L,chr1,17682793,17682913,17683378,17683510,0.000354419,"0.976,0.743,0.828","0.994,0.984,0.778",MXE,"18.6587913248853,15.8481039385352,16.8684920411096","12.4629890927958,19.1686771516663,17.5606687727001",17.1251291,16.39744501,NA,dog,brain,GSE125483
9,ENSCAFG00000000131,-,GLS2,chr10,728423,728482,NA,NA,0.000348987,"0.995,1.0,0.985","0.974,0.947,1.0",SE,"19.3404855689441,23.6532598086957,19.0020637569358","20.123822352381,18.3729311850932,18.1503869031056",20.66526971,18.88238015,NA,dog,brain,GSE125483
10,ENSCAFG00000000133,-,WDR7,chr1,19124435,19124610,19129122,19129201,0.003917038,"0.992,0.517,0.595","1.0,0.996,0.573",MXE,"30.9178924744396,20.9246450267401,17.3481483259929","16.8097750985057,29.5766793503736,33.9845551309477",23.06356194,26.79033653,NA,dog,brain,GSE125483
11,ENSCAFG00000000136,-,ATP5F1B,chr10,886573,886598,889964,890054,0.003748741,"0.012,0.152,0.109","0.017,0.012,0.193",MXE,"530.397717187006,511.550659759153,490.121644944006","562.665771248744,455.7436240542,592.320570667624",510.6900073,536.9099887,NA,dog,brain,GSE125483
12,ENSCAFG00000000158,+,HSD17B4,chr11,8779861,8779968,8785415,8785502,2.14527E-06,"0.0,0.208,0.194","0.0,0.001,0.206",MXE,"34.5684463117409,32.5074178921605,35.2847639171881","32.734638097534,37.8774411490615,45.5515009477365",34.12020937,38.7211934,NA,dog,brain,GSE125483
13,ENSCAFG00000000197,+,COMMD10,chr11,5808286,5808442,5833309,5833420,0.001062994,"0.001,0.354,0.305","0.0,0.0,0.335",MXE,"40.0462080768519,35.8360314888889,39.3219937194444","43.9757521583333,40.3205180527778,54.3795697694444",38.4014111,46.22527999,NA,dog,brain,GSE125483
14,ENSCAFG00000000203,+,AP3S1,chr11,5571330,5571442,5589023,5589095,0.001900108,"0.04,0.339,0.278","0.033,0.028,0.283",MXE,"117.777053387802,116.186112218642,116.262145776755","132.220896607595,101.231978237054,148.689143217491",116.7417705,127.3806727,NA,dog,brain,GSE125483
15,ENSCAFG00000000215,-,NA,chr10,1409413,1409509,NA,NA,0.000108415,"0.883,1.0,1.0","0.865,0.771,0.841",SE,"20.919236697103,30.0221117066586,24.5991677125739","27.5982987526164,30.2705552135598,16.5279593939026",25.18017204,24.79893779,NA,dog,brain,GSE125483
16,ENSCAFG00000000215,-,NA,chr10,1406469,1406501,NA,NA,8.03357E-05,"0.898,1.0,1.0","0.883,0.809,0.85",SE,"20.919236697103,30.0221117066586,24.5991677125739","27.5982987526164,30.2705552135598,16.5279593939026",25.18017204,24.79893779,NA,dog,brain,GSE125483
17,ENSCAFG00000000217,-,SGK1,chr1,27094960,27095927,27120298,27120374,8.91417E-09,"0.999,0.861,0.859","1.0,0.999,0.851",MXE,"18.5131117249224,14.0081420565322,24.6637839762151","12.9435046163392,19.1599270975526,27.6253122530162",19.06167925,19.90958132,NA,dog,brain,GSE125483
18,ENSCAFG00000000220,+,KCNN2,chr11,4320410,4320829,NA,NA,2.05037E-05,"0.98,1.0,1.0","0.887,0.878,1.0",SE,"12.175324,10.467186,10.170829","10.799953,10.756262,11.402807",10.93777967,10.98634067,NA,dog,brain,GSE125483
19,ENSCAFG00000000247,-,MAP7,chr1,28957076,28957228,28961973,28962087,0.003678076,"0.154,0.346,0.318","0.123,0.132,0.251",MXE,"20.0952764990661,19.8985479152036,17.2518233485245","18.7735399955174,26.2731624082929,24.6004263997012",19.08188259,23.2157096,NA,dog,brain,GSE125483
20,ENSCAFG00000000247,-,MAP7,chr1,28957076,28957204,28961973,28962087,0.002638037,"0.14,0.332,0.303","0.112,0.119,0.24",MXE,"20.0952764990661,19.8985479152036,17.2518233485245","18.7735399955174,26.2731624082929,24.6004263997012",19.08188259,23.2157096,NA,dog,brain,GSE125483
21,ENSCAFG00000000247,-,MAP7,chr1,28961973,28962087,28967469,28967580,0.002284249,"0.798,0.51,0.599","0.839,0.862,0.694",MXE,"20.0952764990661,19.8985479152036,17.2518233485245","18.7735399955174,26.2731624082929,24.6004263997012",19.08188259,23.2157096,NA,dog,brain,GSE125483
22,ENSCAFG00000000252,+,SLC26A10,chr10,1702168,1702238,NA,NA,4.21901E-05,"1.0,1.0,1.0","0.895,0.804,1.0",SE,"0.818647748529412,1.30992193470588,0.864188635882353","0.757235060294118,1.14223192823529,0.309604587058824",0.997586106,0.736357192,NA,dog,brain,GSE125483
23,ENSCAFG00000000312,+,PHACTR2,chr1,35288550,35288709,NA,NA,2.00723E-07,"1.0,1.0,0.927","0.865,0.702,0.934",SE,"7.58700228216123,6.91764040866209,9.10702415008576","5.91681328001715,7.36487596569468,10.7670779489708",7.870555614,8.016255732,NA,dog,brain,GSE125483
24,ENSCAFG00000000344,-,RUFY1,chr11,2067789,2067884,2069687,2069817,0.000189416,"0.005,0.323,0.33","0.0,0.003,0.334",MXE,"6.70432762418605,7.96078322883721,7.92715288837209","7.69277122883721,7.75826272558139,8.8951638372093",7.53075458,8.115399264,NA,dog,brain,GSE125483
25,ENSCAFG00000000344,-,RUFY1,chr11,2101296,2101358,NA,NA,0.00125806,"0.971,1.0,1.0","0.946,0.931,1.0",SE,"6.70432762418605,7.96078322883721,7.92715288837209","7.69277122883721,7.75826272558139,8.8951638372093",7.53075458,8.115399264,NA,dog,brain,GSE125483
26,ENSCAFG00000000365,+,MRNIP,chr11,1843091,1843180,NA,NA,9.81947E-05,"0.307,0.415,0.47","1.0,0.584,0.842",SE,"3.9736582815534,5.4672879223301,4.47646757281553","5.111288,5.29986344660194,4.44078411650485",4.639137926,4.950645188,NA,dog,brain,GSE125483
27,ENSCAFG00000000365,+,MRNIP,chr11,1849131,1849204,NA,NA,0.000445016,"0.697,0.684,0.835","1.0,0.824,0.916",SE,"3.9736582815534,5.4672879223301,4.47646757281553","5.111288,5.29986344660194,4.44078411650485",4.639137926,4.950645188,NA,dog,brain,GSE125483
28,ENSCAFG00000000385,-,KATNA1,chr1,40387650,40387772,40402633,40402814,0.003750659,"0.992,0.725,0.733","1.0,0.98,0.724",MXE,"10.3765552908478,11.6265080033689,11.4374948562605","10.8787631841662,11.0875910898372,11.8113616468276",11.14685272,11.25923864,NA,dog,brain,GSE125483
29,ENSCAFG00000000393,+,PCMT1,chr1,40524029,40524150,40531017,40531187,0.000223221,"0.012,0.261,0.287","0.005,0.011,0.293",MXE,"211.307836319813,216.902157762871,179.673286132605","206.359599914977,200.215109099064,260.482597039002",202.6277601,222.3524354,NA,dog,brain,GSE125483
30,ENSCAFG00000000393,+,PCMT1,chr1,40521614,40521719,40526049,40526135,4.8681E-09,"0.009,0.197,0.189","0.001,0.002,0.168",MXE,"211.307836319813,216.902157762871,179.673286132605","206.359599914977,200.215109099064,260.482597039002",202.6277601,222.3524354,NA,dog,brain,GSE125483
