"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474237","FPKM.SRR8474247","FPKM.SRR8474267","FPKM.SRR8474278","FPKM.SRR8474288","FPKM.SRR8474299","..files.spleen_mean_female","..files.spleen_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSCAFG00000000037","+","RTTN","chr1",8304634,8304732,NA,NA,0.000155612550067,0.00813492393431,"1.0,1.0,1.0","0.662,1.0,0.932","SE","1","RTTN",3.146464,3.332775,3.039969,4.197392,2.877884,2.211046,3.021439,3.247071,NA,"dog","spleen","GSE125483"
"2","ENSCAFG00000000043","+","TMX3","chr1",9428001,9428059,9428247,9428301,0.00157213391052,0.0276418555417,"0.55,0.689,0.528","0.482,0.409,0.446","MXE","1","TMX3",6.02160824984766,12.0844807129799,15.6800888372943,18.8656403845216,8.98873702620353,7.16154170018282,10.2301447044485,12.7038875992281,NA,"dog","spleen","GSE125483"
"3","ENSCAFG00000000071","+",NA,"chr10",204677,204852,205000,205152,0.000700471434236,0.0157132406027,"0.259,0.344,0.274","0.286,0.164,0.183","MXE","10","ENSCAFG00000000071",36.326965,28.590662,39.904423,39.415325,30.444719,31.149197,35.5587023333333,33.051728,NA,"dog","spleen","GSE125483"
"4","ENSCAFG00000000079","-","RELCH","chr1",14598755,14598838,14599328,14599411,6.73170388178e-05,0.00278935489417,"0.63,0.658,0.62","0.747,0.773,0.826","MXE","1","RELCH",6.17641393258719,9.44633138651744,8.32012566371681,11.6950415965643,7.09672447891723,6.0091420234253,7.19775469174041,9.05017166883568,NA,"dog","spleen","GSE125483"
"5","ENSCAFG00000000079","-","RELCH","chr1",14598755,14598838,NA,NA,1.22106827705e-05,0.00129517296415,"0.507,0.509,0.316","0.145,0.25,0.171","SE","1","RELCH",6.17641393258719,9.44633138651744,8.32012566371681,11.6950415965643,7.09672447891723,6.0091420234253,7.19775469174041,9.05017166883568,NA,"dog","spleen","GSE125483"
"6","ENSCAFG00000000083","+","PIGN","chr1",14750272,14750381,NA,NA,0.000488273602362,0.0184203733365,"1.0,1.0,0.939","0.911,0.908,0.874","SE","1","PIGN",1.41486610452489,2.44620474638009,3.35707092963801,4.66272000135747,2.42735409570136,1.82424880113122,2.39976370995475,2.97772451628959,NA,"dog","spleen","GSE125483"
"7","ENSCAFG00000000088","+","SUOX","chr10",328326,328446,NA,NA,0.00041832940218,0.0166168158057,"0.063,0.0,0.0","0.132,0.085,0.038","SE","10","SUOX",11.2927410801187,12.0773497091988,10.3924697299703,9.75130254005935,11.5166642759644,14.8028545637982,11.0672916953511,12.2105022710188,NA,"dog","spleen","GSE125483"
"8","ENSCAFG00000000103","-","ZNF532","chr1",17184822,17184985,NA,NA,0.00111829269969,0.0335430520322,"0.97,0.962,1.0","0.952,0.986,0.895","SE","1","ZNF532",24.6731859902855,45.5546304700634,28.2740714726408,48.5774310741475,35.42227384318,26.4182715463918,29.4565104353688,40.1834443635342,NA,"dog","spleen","GSE125483"
"9","ENSCAFG00000000109","-","SMARCC2","chr10",482909,483185,NA,NA,4.56401419122e-05,0.000680356534087,"1.0,0.977,0.943","0.899,0.913,0.804","RI","10","SMARCC2",34.8648028073781,50.4045498900718,46.1798389336469,48.4727911755385,37.8916765850458,41.2544155090369,39.6454394420236,46.7105855248824,NA,"dog","spleen","GSE125483"
"10","ENSCAFG00000000116","-","NEDD4L","chr1",17692780,17692957,NA,NA,0.00149446344171,0.0416274188925,"0.963,1.0,0.958","0.969,1.0,0.852","SE","1","NEDD4L",13.7678465138695,13.4792108353622,21.700049351826,17.2739017150269,17.3142274400319,8.21267268229894,17.5940411019091,12.9885950775627,NA,"dog","spleen","GSE125483"
