"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474309","FPKM.SRR8474319","FPKM.SRR8474326","FPKM.SRR8474336","FPKM.SRR8474345","FPKM.SRR8474355","..files.adrenal_mean_female","..files.adrenal_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMUSG00000000296","-","Tpd52l1","chr10",31341139,31341178,31343011,31343026,5.76327874313e-12,1.34918355377e-08,"0.0,0.0,0.0","0.561,0.317,0.54","MXE","10","Tpd52l1",19.2099482585034,28.6137784051398,21.7047911360544,27.2273740022676,20.5227555616024,24.5920173476946,20.4791649853867,26.811056585034,NA,"mus","adrenal","GSE125483"
"2","ENSMUSG00000000296","-","Tpd52l1","chr10",31343011,31343026,NA,NA,0,0,"0.0,0.0,0.044","0.786,0.668,0.803","SE","10","Tpd52l1",19.2099482585034,28.6137784051398,21.7047911360544,27.2273740022676,20.5227555616024,24.5920173476946,20.4791649853867,26.811056585034,NA,"mus","adrenal","GSE125483"
"3","ENSMUSG00000000296","-","Tpd52l1","chr10",31338184,31338245,31343011,31343026,1.62770019685e-10,1.90522308041e-07,"0.0,0.0,0.0","0.345,0.235,0.308","MXE","10","Tpd52l1",19.2099482585034,28.6137784051398,21.7047911360544,27.2273740022676,20.5227555616024,24.5920173476946,20.4791649853867,26.811056585034,NA,"mus","adrenal","GSE125483"
"4","ENSMUSG00000000296","-","Tpd52l1","chr10",31343011,31343026,NA,NA,5.69965962804e-06,0.00133672017382,"0.0,0.0,0.0","0.045,0.039,0.036","SE","10","Tpd52l1",19.2099482585034,28.6137784051398,21.7047911360544,27.2273740022676,20.5227555616024,24.5920173476946,20.4791649853867,26.811056585034,NA,"mus","adrenal","GSE125483"
"5","ENSMUSG00000000416","-","Cttnbp2","chr6",18433982,18433819,NA,NA,2.78817333973e-05,0.00434714452521,"1.0,1.0,0.958","0.838,0.835,0.91","A5SS","6","Cttnbp2",8.41025373235927,17.1750228595537,9.98265591505267,12.682669440367,9.82423914271152,12.0070395437762,9.40571626337449,13.9549106145656,NA,"mus","adrenal","GSE125483"
"6","ENSMUSG00000000538","-","Tom1l2","chr11",60232897,60232957,NA,NA,0.000341577761305,0.0269870656804,"0.909,0.887,0.965","1.0,0.972,1.0","SE","11","Tom1l2",14.4122340801004,13.514399962346,12.2806873911456,18.4673623272478,17.0914161336148,16.5005060959607,14.5947792016203,16.1607561285182,NA,"mus","adrenal","GSE125483"
"7","ENSMUSG00000000538","-","Tom1l2","chr11",60239009,60239072,NA,NA,5.69093632119e-05,0.00720420802478,"0.0,0.011,0.037","0.047,0.091,0.088","SE","11","Tom1l2",14.4122340801004,13.514399962346,12.2806873911456,18.4673623272478,17.0914161336148,16.5005060959607,14.5947792016203,16.1607561285182,NA,"mus","adrenal","GSE125483"
"8","ENSMUSG00000000631","+","Myo18a","chr11",77854677,77854722,NA,NA,5.31918381008e-07,0.000219465583868,"0.628,0.585,0.661","0.812,0.769,0.784","SE","11","Myo18a",3.46074059836628,6.73913353962711,3.79210954879342,9.79665356668953,5.14929167562512,7.78312776784935,4.13404727426161,8.10630495805533,NA,"mus","adrenal","GSE125483"
"9","ENSMUSG00000000838","+","Fmr1","chrX",68715513,68715564,NA,NA,0.000847688818424,0.0331265360728,"0.008,0.01,0.008","0.02,0.03,0.055","A3SS","X","Fmr1",6.4341526570377,8.47543887898729,7.7014505807495,8.16970989783627,8.21510575864377,7.49381204037475,7.45023633214366,8.04632027239944,NA,"mus","adrenal","GSE125483"
"10","ENSMUSG00000001016","+","Ilf2","chr3",90486912,90486982,NA,NA,1.50820705314e-06,0.000201706299803,"0.169,0.096,0.145","0.236,0.27,0.261","RI","3","Ilf2",7.66446947738928,8.91931629347319,8.38422045104895,8.32656877482518,8.25231002179487,8.24278992389277,8.10033331674437,8.49622499739705,NA,"mus","adrenal","GSE125483"
"11","ENSMUSG00000001419","+","Mef2d","chr3",88161780,88161801,NA,NA,1.70708158187e-06,0.000528246911723,"0.0,0.0,0.012","0.042,0.065,0.085","SE","3","Mef2d",19.2766310481203,15.4674057590643,14.0262161353383,26.6108082116959,19.9552393121136,22.0352140091896,17.7526954985241,21.3711426599833,NA,"mus","adrenal","GSE125483"
"12","ENSMUSG00000001419","+","Mef2d","chr3",88158033,88158171,88158220,88158355,3.49891833747e-05,0.00744633438911,"0.986,0.985,0.984","0.936,0.943,0.956","MXE","3","Mef2d",19.2766310481203,15.4674057590643,14.0262161353383,26.6108082116959,19.9552393121136,22.0352140091896,17.7526954985241,21.3711426599833,NA,"mus","adrenal","GSE125483"
"13","ENSMUSG00000001909","+","Trmt1","chr8",84690572,84690772,NA,NA,0.00169856245431,0.0406396738166,"0.877,0.937,0.942","0.981,0.982,1.0","RI","8","Trmt1",6.16041626244846,6.05843006438313,6.34706230748494,7.22061702949572,6.7822416064066,6.42409383571202,6.42990672544667,6.56771364319696,NA,"mus","adrenal","GSE125483"
"14","ENSMUSG00000001911","-","Nfix","chr8",84723727,84723850,NA,NA,7.47622163585e-05,0.008725299717,"1.0,1.0,0.901","0.658,0.794,0.804","SE","8","Nfix",5.91051322826826,0.660841190858387,0.516102129370154,1.10695638307713,3.47660223588627,1.1739686784111,3.30107253117489,0.980588750782206,NA,"mus","adrenal","GSE125483"
"15","ENSMUSG00000001986","+","Gria3","chrX",41654253,41654809,NA,NA,0.000449041233965,0.015911361621,"0.312,1.0,1.0","0.613,0.459,0.475","RI","X","Gria3",3.94563488081956,7.99935349751496,6.54699742205092,9.37707456425601,7.11630086408358,8.20934580951415,5.86964438898469,8.52859129042837,NA,"mus","adrenal","GSE125483"
"16","ENSMUSG00000001986","+","Gria3","chrX",41654809,41654924,NA,NA,1.38367983737e-10,2.05522578511e-07,"0.078,0.0,0.0","0.293,0.3,0.154","SE","X","Gria3",3.94563488081956,7.99935349751496,6.54699742205092,9.37707456425601,7.11630086408358,8.20934580951415,5.86964438898469,8.52859129042837,NA,"mus","adrenal","GSE125483"
"17","ENSMUSG00000002010","-","Idh3g","chrX",73780707,73780897,NA,NA,0.000937208052225,0.0266930737837,"0.055,0.045,0.063","0.087,0.086,0.056","RI","X","Idh3g",60.518570950759,44.3714683561644,55.7079231980748,41.060414076268,42.9345252210293,46.3344652473158,53.0536731232877,43.9221158932494,NA,"mus","adrenal","GSE125483"
"18","ENSMUSG00000002032","-","Tmem25","chr9",44795995,44796127,NA,NA,0.000231598646674,0.0208065235802,"1.0,1.0,1.0","0.84,0.799,0.947","SE","9","Tmem25",1.76757628237858,1.73945695049813,2.9003262107721,3.50574933872976,2.50764589321295,2.89722562235367,2.39184946212121,2.71414397052719,NA,"mus","adrenal","GSE125483"
"19","ENSMUSG00000002043","+","Trappc6a","chr7",19514539,19515024,NA,NA,4.66173380046e-05,0.00333476585354,"0.552,0.559,0.645","1.0,0.869,0.811","RI","7","Trappc6a",16.9534209848962,8.66615303398364,17.2923420320957,13.8919769314034,15.0904800484582,11.5733358508496,16.44541435515,11.3771552720789,NA,"mus","adrenal","GSE125483"
"20","ENSMUSG00000002043","+","Trappc6a","chr7",19515006,19515024,NA,NA,2.69863807177e-05,0.002607184226,"0.954,0.938,0.953","1.0,0.988,0.979","A3SS","7","Trappc6a",16.9534209848962,8.66615303398364,17.2923420320957,13.8919769314034,15.0904800484582,11.5733358508496,16.44541435515,11.3771552720789,NA,"mus","adrenal","GSE125483"
"21","ENSMUSG00000002055","+","Spag5","chr11",78314256,78314342,NA,NA,0.00122054373965,0.0320888251552,"0.0,0.0,0.094","0.26,0.114,0.205","RI","11","Spag5",1.24519321888336,1.20437562215505,1.76001851760313,1.38183784050498,1.62060475035562,1.17979345963727,1.54193882894737,1.25533564076577,NA,"mus","adrenal","GSE125483"
"22","ENSMUSG00000002068","-","Ccne1","chr7",38099246,38099358,NA,NA,0.000170944716128,0.0165593403275,"1.0,1.0,0.81","0.721,0.81,0.849","SE","7","Ccne1",2.10705650713749,3.21206448384673,1.57117711945905,1.64439196543952,1.42749790082645,1.59823485424493,1.701910509141,2.15156376784373,NA,"mus","adrenal","GSE125483"
"23","ENSMUSG00000002249","-","Tead3","chr17",28335496,28336510,NA,NA,3.52737472133e-05,0.0027125511607,"1.0,0.655,1.0","1.0,0.241,0.35","RI","17","Tead3",1.32449459785523,1.3286971331546,1.07875544667858,2.60807087056896,1.22997699240393,2.40550157923741,1.21107567897925,2.11408986098699,NA,"mus","adrenal","GSE125483"
"24","ENSMUSG00000002324","+","Rec8","chr14",55621234,55621319,NA,NA,0.000159223215506,0.0157666366288,"0.945,1.0,1.0","0.905,0.954,0.952","SE","14","Rec8",13.916678113799,8.34968212367973,14.9704900763203,19.127638318569,16.0548492780238,15.8240295850085,14.980672489381,14.4337833424191,NA,"mus","adrenal","GSE125483"
"25","ENSMUSG00000002546","+","Golga2","chr2",32293314,32293395,NA,NA,0.000298693600926,0.0245981405405,"0.56,0.519,0.527","0.668,0.768,0.723","SE","2","Golga2",16.1052668181818,16.6317571987273,14.1383973274545,21.7747221470909,18.3653562641818,20.3872693027273,16.2030068032727,19.5979162161818,NA,"mus","adrenal","GSE125483"
"26","ENSMUSG00000002728","+","Naa20","chr2",145908590,145908615,NA,NA,1.04086106544e-05,0.00208922383225,"0.902,1.0,0.971","0.727,0.828,0.755","SE","2","Naa20",8.13955595924426,9.92158423211876,10.9598284080972,8.56904130526316,7.82109088016194,8.1691440928475,8.9734917491678,8.88658987674314,NA,"mus","adrenal","GSE125483"
"27","ENSMUSG00000002767","+","Mrpl2","chr17",46648658,46648669,NA,NA,2.92357577203e-06,0.000508409826756,"0.953,0.911,0.937","0.978,0.963,1.0","A3SS","17","Mrpl2",32.861127308547,31.285297817094,25.5285759521368,34.1756358068376,31.188381551282,34.3447371205128,29.8593616039886,33.2685569148148,NA,"mus","adrenal","GSE125483"
"28","ENSMUSG00000002804","-","Nudt14","chr12",112938355,112938593,NA,NA,0.00011468979812,0.0121680414386,"1.0,1.0,0.974","0.9,0.989,0.9","SE","12","Nudt14",5.9720624089477,4.43068062822936,5.66908515185885,5.61739844360429,5.32755073913043,4.37752271581601,5.65623276664566,4.80853392921655,NA,"mus","adrenal","GSE125483"
"29","ENSMUSG00000002804","-","Nudt14","chr12",112938355,112938557,NA,NA,8.2693624618e-05,0.00937672334474,"1.0,1.0,0.969","0.881,0.988,0.883","SE","12","Nudt14",5.9720624089477,4.43068062822936,5.66908515185885,5.61739844360429,5.32755073913043,4.37752271581601,5.65623276664566,4.80853392921655,NA,"mus","adrenal","GSE125483"
"30","ENSMUSG00000002963","+","Pnkp","chr7",44859802,44859887,NA,NA,0.00156777359962,0.038890899939,"0.013,0.012,0.029","0.054,0.038,0.052","RI","7","Pnkp",11.6332723772308,9.13948468153846,9.53027835230769,12.3881441563077,10.3738907538462,10.0700975012308,10.5124804944616,10.532575446359,NA,"mus","adrenal","GSE125483"
"31","ENSMUSG00000003068","+","Stk11","chr10",80126032,80126232,NA,NA,1.2687183752e-05,0.00142571441079,"1.0,1.0,0.957","0.869,0.929,0.926","A3SS","10","Stk11",18.7065004917031,15.7664619847162,13.3137238417031,18.4529553091703,17.5667577015284,14.7240972340611,16.5289940116449,16.3145048426492,NA,"mus","adrenal","GSE125483"
