"","id","strand","symbol.x","chr.x","as_site1","as_site2","as_site3","as_site4","as_pvalue","fdr","IncLevel1","IncLevel2","as_type","chr.y","symbol.y","FPKM.SRR8474158","FPKM.SRR8474170","FPKM.SRR8474182","FPKM.SRR8474194","FPKM.SRR8474205","FPKM.SRR8474223","..files.muscle_mean_female","..files.muscle_mean_male","Remark","Organism","Tissue","GEO_accession"
"1","ENSMFAG00000000063","+",NA,"chr13",108094966,108095091,NA,NA,4.38290755644e-06,0.0010340384893,"0.913,1.0,1.0","1.0,0.984,1.0","SE","13","ENSMFAG00000000063",11.613319,9.723761,8.682236,10.009057,10.395432,17.496822,12.40988,10.230329,NA,"Macaca_fascicularis","muscle","GSE125483"
"2","ENSMFAG00000000063","+",NA,"chr13",108094966,108095091,NA,NA,1.48579697058e-05,0.00246496630747,"0.884,1.0,1.0","1.0,0.979,1.0","SE","13","ENSMFAG00000000063",11.613319,9.723761,8.682236,10.009057,10.395432,17.496822,12.40988,10.230329,NA,"Macaca_fascicularis","muscle","GSE125483"
"3","ENSMFAG00000000088","-","MED31","chr16",6675102,6675199,NA,NA,0.000654545891906,0.0420568622794,"0.903,0.985,0.929","0.92,0.798,0.867","SE","16","MED31",10.8162770661765,7.96537152205882,6.68965554411765,7.25891266176471,8.37212057352941,14.0664807720588,9.76358831862744,8.62601772794119,NA,"Macaca_fascicularis","muscle","GSE125483"
"4","ENSMFAG00000000095","-","TRDN","chr4",27316105,27316123,NA,NA,0,0,"0.944,0.983,0.834","0.978,0.99,0.972","SE","4","TRDN",513.854311641072,301.816070186279,366.678154189914,408.953570499773,370.876683164925,624.012207170377,444.92728261881,417.136382998637,NA,"Macaca_fascicularis","muscle","GSE125483"
"5","ENSMFAG00000000095","-","TRDN","chr4",27302696,27302732,NA,NA,0.000593378379283,0.039212680122,"0.973,0.994,0.983","0.989,0.99,0.985","SE","4","TRDN",513.854311641072,301.816070186279,366.678154189914,408.953570499773,370.876683164925,624.012207170377,444.92728261881,417.136382998637,NA,"Macaca_fascicularis","muscle","GSE125483"
"6","ENSMFAG00000000095","-","TRDN","chr4",27316105,27316123,NA,NA,0,0,"0.945,0.983,0.835","0.978,0.99,0.972","SE","4","TRDN",513.854311641072,301.816070186279,366.678154189914,408.953570499773,370.876683164925,624.012207170377,444.92728261881,417.136382998637,NA,"Macaca_fascicularis","muscle","GSE125483"
"7","ENSMFAG00000000095","-","TRDN","chr4",27302696,27302732,NA,NA,0.000592432167736,0.0339451596245,"0.973,0.994,0.983","0.989,0.989,0.985","SE","4","TRDN",513.854311641072,301.816070186279,366.678154189914,408.953570499773,370.876683164925,624.012207170377,444.92728261881,417.136382998637,NA,"Macaca_fascicularis","muscle","GSE125483"
"8","ENSMFAG00000000139","+","ARIH2","chr2",104090389,104090435,NA,NA,0.000837033894031,0.0494849733511,"0.15,0.118,0.171","0.054,0.092,0.127","SE","2","ARIH2",30.5959710376003,21.6568223979721,32.6337588405154,26.9967365811153,27.865232826785,27.7618548282636,25.4718046024503,30.3649875683002,NA,"Macaca_fascicularis","muscle","GSE125483"
"9","ENSMFAG00000000139","+","ARIH2","chr2",104090389,104090435,NA,NA,0.000837274329316,0.0428747424044,"0.149,0.118,0.17","0.054,0.091,0.126","SE","2","ARIH2",30.5959710376003,21.6568223979721,32.6337588405154,26.9967365811153,27.865232826785,27.7618548282636,25.4718046024503,30.3649875683002,NA,"Macaca_fascicularis","muscle","GSE125483"
"10","ENSMFAG00000000163","-","MYH7","chr7",87154211,87154267,NA,NA,0.000289826083252,0.0232076372392,"0.957,0.984,0.972","0.975,0.981,0.98","SE","7","MYH7",1868.52820583563,2984.88354617406,483.345533003777,1194.66180921987,3097.29908112365,8975.67705409212,4385.07413649535,1816.39093998769,NA,"Macaca_fascicularis","muscle","GSE125483"
"11","ENSMFAG00000000163","-","MYH7","chr7",87154211,87154267,NA,NA,0.000289585461066,0.0201938125226,"0.957,0.983,0.972","0.975,0.98,0.98","SE","7","MYH7",1868.52820583563,2984.88354617406,483.345533003777,1194.66180921987,3097.29908112365,8975.67705409212,4385.07413649535,1816.39093998769,NA,"Macaca_fascicularis","muscle","GSE125483"
"12","ENSMFAG00000000188","-","NEB","chr12",40163157,40163250,40168287,40168380,2.65117217968e-06,0.000428120122265,"0.979,0.999,0.999","1.0,0.998,0.904","MXE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
"13","ENSMFAG00000000188","-","NEB","chr12",40166919,40167012,40168287,40168380,8.39368225986e-05,0.00773802481541,"0.955,0.999,0.998","0.999,0.999,0.977","MXE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
"14","ENSMFAG00000000188","-","NEB","chr12",40159714,40159807,40168852,40168945,3.93679533417e-11,2.13724244475e-08,"0.949,0.957,1.0","0.976,0.98,1.0","MXE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
"15","ENSMFAG00000000188","-","NEB","chr12",40159714,40159807,40163157,40163250,1.05718693545e-05,0.00129135384165,"0.064,0.013,0.416","0.014,0.013,0.038","MXE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
"16","ENSMFAG00000000188","-","NEB","chr12",40168287,40168380,NA,NA,5.45002413371e-05,0.00609418337383,"0.995,0.937,0.999","1.0,0.991,0.998","SE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
"17","ENSMFAG00000000188","-","NEB","chr12",40161787,40161880,40163769,40163862,1.84200302789e-06,0.000333334325714,"0.966,0.993,0.986","0.975,0.718,0.973","MXE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
"18","ENSMFAG00000000188","-","NEB","chr12",40159328,40159421,NA,NA,1.29605299826e-08,8.60988470739e-06,"0.969,1.0,1.0","1.0,0.823,0.978","SE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
"19","ENSMFAG00000000188","-","NEB","chr12",40166919,40167012,40168287,40168380,1.27875713941e-05,0.00145302497283,"0.878,0.928,0.687","0.959,0.952,0.875","MXE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
"20","ENSMFAG00000000188","-","NEB","chr12",40161787,40161880,40163157,40163250,6.19504783506e-06,0.000840805658947,"0.752,0.677,0.816","0.615,0.477,0.652","MXE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
"21","ENSMFAG00000000188","-","NEB","chr12",40161787,40161880,NA,NA,0.000555966943823,0.0375888220819,"0.878,0.82,1.0","0.839,1.0,0.958","SE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
"22","ENSMFAG00000000188","-","NEB","chr12",40168852,40168945,NA,NA,1.7314391989e-06,0.000471235361877,"0.951,0.96,1.0","0.981,0.964,1.0","SE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
"23","ENSMFAG00000000188","-","NEB","chr12",40173082,40173187,NA,NA,4.09098477316e-09,2.96689904277e-06,"0.975,0.981,1.0","0.999,0.992,0.995","SE","12","NEB",602.331274552369,443.496313890383,451.254834411573,437.225962251389,440.381446876893,684.356148247275,521.692808129682,497.989185280278,NA,"Macaca_fascicularis","muscle","GSE125483"
